"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"EGF1" "EGF" -1.12356 7.07404923387971e-06 0.000650812529516933 "C1-Ctrl"
"CXCL131" "CXCL13" -3.78201818181818 2.83839304396812e-05 0.00130566080022533 "C1-Ctrl"
"ANGPT11" "ANGPT1" -0.761108181818182 0.000163139197893943 0.00382730583302364 "C1-Ctrl"
"TNFRSF41" "TNFRSF4" -1.83135090909091 0.000166404601435811 0.00382730583302364 "C1-Ctrl"
"TNFRSF91" "TNFRSF9" -1.6961 0.000252189546865617 0.00443510694307838 "C1-Ctrl"
"PDGF.subunit.B1" "PDGF.subunit.B" -1.33309909090909 0.000291129631111419 0.00443510694307838 "C1-Ctrl"
"IFN.gamma1" "IFN.gamma" -3.81832272727272 0.000337453789147268 0.00443510694307838 "C1-Ctrl"
"CD701" "CD70" -0.760605454545454 0.000581629947389638 0.00668874439498084 "C1-Ctrl"
"CD40.L1" "CD40.L" -0.664127272727273 0.00069648348544398 0.00706197799967032 "C1-Ctrl"
"KLRD11" "KLRD1" -0.403340909090909 0.00080248633965525 0.00706197799967032 "C1-Ctrl"
"CCL191" "CCL19" -0.995957272727274 0.000899542712919652 0.00706197799967032 "C1-Ctrl"
"FASLG1" "FASLG" -1.24697363636364 0.000921127565174389 0.00706197799967032 "C1-Ctrl"
"PD.L11" "PD.L1" -1.25260272727273 0.00113925220351556 0.00805362009219345 "C1-Ctrl"
"CXCL91" "CXCL9" -3.28635 0.00122555088359466 0.00805362009219345 "C1-Ctrl"
"PDCD11" "PDCD1" -0.825825454545454 0.00199491240964225 0.0122354627791391 "C1-Ctrl"
"GZMB1" "GZMB" -2.04345727272727 0.00320110687023124 0.0166395209631489 "C1-Ctrl"
"CD831" "CD83" -0.583553636363636 0.00325217231088193 0.0166395209631489 "C1-Ctrl"
"LAG31" "LAG3" -0.995405454545454 0.00325555844931175 0.0166395209631489 "C1-Ctrl"
"IL101" "IL10" -1.57592636363636 0.00402865040920904 0.0182785597914236 "C1-Ctrl"
"IL151" "IL15" -0.839969090909092 0.00424165820222826 0.0182785597914236 "C1-Ctrl"
