"","baseMean","LFC_DA_AA","lfcSE","stat","pvalue","FDR_DA_AA","Ensembl_ID","Gene_name"
"ENSG00000099994",22.6917255749654,0.59682492116071,0.154073137904741,3.87364682304135,0.000107218761956752,0.080555753403007,"ENSG00000099994","SUSD2"
"ENSG00000105609",27.0021939354543,1.66813620428237,0.284288937087881,5.86774927427693,4.41750575166822e-09,3.09770228326148e-05,"ENSG00000105609","LILRB5"
"ENSG00000158270",19.8664980848349,-0.920138699433759,0.215175454374959,-4.27622519541819,1.90088943263393e-05,0.0302956398130938,"ENSG00000158270","COLEC12"
"ENSG00000162627",10.2191685703407,1.51220048309704,0.360504646874206,4.19467681265341,2.73260925405351e-05,0.0383239339183491,"ENSG00000162627","SNX7"
"ENSG00000162747",99.6906183723926,0.886436826448785,0.228490349847487,3.87953726291051,0.00010465536850333,0.080555753403007,"ENSG00000162747","FCGR3B"
"ENSG00000173114",617.905914678686,-1.15924935678421,0.24308595233225,-4.76888666606182,1.85246834396374e-06,0.00487129706899565,"ENSG00000173114","LRRN3"
"ENSG00000184368",6.49518887437097,2.58393055111237,0.447755719249598,5.77084879103907,7.88732269734303e-09,4.14814018960013e-05,"ENSG00000184368","MAP7D2"
"ENSG00000186871",16.6200220003475,1.18284864439525,0.265064031508034,4.4625015233702,8.10083524839527e-06,0.0142014392600409,"ENSG00000186871","ERCC6L"
"ENSG00000211892",277.070731538965,-1.5902708084033,0.337625479079613,-4.71016231576619,2.47519586136441e-06,0.00560601956114752,"ENSG00000211892","IGHG4"
"ENSG00000214401",149.112490975998,-0.73212705630782,0.171736083217524,-4.26309394386557,2.01615704417604e-05,0.0302956398130938,"ENSG00000214401","KANSL1-AS1"
"ENSG00000220517",9.32351999130108,0.744466468971288,0.189178184696618,3.93526595133142,8.31046176356819e-05,0.0728446600500767,"ENSG00000220517","ASS1P1"
"ENSG00000225630",4361.58920682232,3.37609689768911,0.455308065473992,7.41497274855976,1.21649817980977e-13,1.27957361043291e-09,"ENSG00000225630","MTND2P28"
"ENSG00000227032",10.227601376328,0.915403516804903,0.191468227178409,4.78096825930255,1.7445290773431e-06,0.00487129706899565,"ENSG00000227032","RPS2P36"
"ENSG00000229807",2221.1667525071,10.0282937249706,1.34437591421781,7.4594416776689,8.68898794715096e-14,1.27957361043291e-09,"ENSG00000229807","XIST"
"ENSG00000230006",196.701331245206,-0.910046148068476,0.230842410506065,-3.94228316223794,8.07096085310877e-05,0.0728446600500767,"ENSG00000230006","ANKRD36BP2"
"ENSG00000247627",32.5486414480726,1.55315975855874,0.295334230894546,5.25898997164782,1.44848787940045e-07,0.000609436790378946,"ENSG00000247627","MTND4P12"
"ENSG00000274576",59.1091139701643,-0.973275397924674,0.255043055751316,-3.81612192912902,0.000135565533724858,0.0970736100173084,"ENSG00000274576","IGHV2-70"
