"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl_ID"
"ENSG00000000003",14.7829987454473,-0.244618547066195,0.167594305722324,-1.4595874603967,0.144403487609319,0.518364582177937,"ENSG00000000003"
"ENSG00000000419",807.063533769624,0.0370776369990197,0.0311532372982133,1.19016963290509,0.2339797260892,0.641035778984943,"ENSG00000000419"
"ENSG00000000457",1011.88562722814,-0.0199131459291748,0.0327305816128289,-0.608395724974522,0.542925046150966,0.893338635876023,"ENSG00000000457"
"ENSG00000000460",263.697961319131,0.0112064100484794,0.0439579529491817,0.254934756889947,0.798773490852309,0.999894806750632,"ENSG00000000460"
"ENSG00000000938",15838.1559189428,0.0742713477588592,0.063962866864492,1.16116352189476,0.245575406217011,0.654809023447911,"ENSG00000000938"
"ENSG00000000971",247.338425908002,0.191798597173591,0.120097922245265,1.59701844618009,0.110261595482245,0.467238977770728,"ENSG00000000971"
"ENSG00000001036",1135.21675587205,0.0064402327349397,0.062563619086132,0.102938941656706,0.91801143087835,0.999894806750632,"ENSG00000001036"
"ENSG00000001084",1160.08947776572,0.0782513261762174,0.035382425052526,2.21158742115758,0.0269951853530887,0.241060499249894,"ENSG00000001084"
"ENSG00000001167",1893.32576323228,0.0165165123840924,0.0313407016903835,0.526998806448556,0.598194417320701,0.923454829197589,"ENSG00000001167"
"ENSG00000001460",110.698020389574,-0.0900890146035159,0.0492588438875126,-1.82889015441051,0.0674160654642298,0.371039192580749,"ENSG00000001460"
"ENSG00000001461",1332.35433212814,-0.0452868704934396,0.0377221031279954,-1.20053938508614,0.229929926109875,0.636103075685929,"ENSG00000001461"
"ENSG00000001497",1158.90707050669,-0.0358392800758258,0.023981311366579,-1.49446706762552,0.135053583312729,0.50615482500561,"ENSG00000001497"
"ENSG00000001561",932.152497821286,0.348758277070049,0.0692795523690285,5.03407232212375,4.8016838094561e-07,0.000461681898279204,"ENSG00000001561"
"ENSG00000001617",0.564033201263474,0.185481638900582,0.496988828242539,0.373210881935688,0.708991497733351,0.974870594962335,"ENSG00000001617"
"ENSG00000001626",0.0675110677643231,0.0817690897736695,2.35658559607054,0.0346981199876697,0.972320460058687,0.999894806750632,"ENSG00000001626"
"ENSG00000001629",1642.80956633759,0.0530076871544858,0.0316398131992048,1.67534766468906,0.0938660385571584,0.434104738487936,"ENSG00000001629"
"ENSG00000001630",493.173741690502,0.0495772016703476,0.0714870269737382,0.693513267638903,0.487987502513655,0.860522666055716,"ENSG00000001630"
"ENSG00000001631",1097.09938127831,0.0295676803752081,0.04177509947071,0.707782405064985,0.479080394456585,0.854717443972862,"ENSG00000001631"
"ENSG00000002016",370.385740298477,0.0146530233029558,0.0503263915402934,0.291159823990638,0.770929087853823,0.996971510385273,"ENSG00000002016"
"ENSG00000002330",231.348401784826,-0.108071662516795,0.0580717696628871,-1.86100170778613,0.0627439355243029,0.361247269500702,"ENSG00000002330"
"ENSG00000002549",2999.07062708822,0.0183293165916689,0.100284435133297,0.18277329445298,0.854975903552291,0.999894806750632,"ENSG00000002549"
"ENSG00000002586",5713.14674563865,0.0693141627355097,0.0435276023953496,1.59241857858257,0.111290684498726,0.469736580972455,"ENSG00000002586"
"ENSG00000002587",44.8468809862873,-0.433231489604092,0.129344381437226,-3.34944189140793,0.000809745387133417,0.0380983016160234,"ENSG00000002587"
"ENSG00000002726",2.8525577951453,0.0865312065559689,0.339518298003807,0.254864633407766,0.798827652845997,0.999894806750632,"ENSG00000002726"
"ENSG00000002745",32.2384665748392,-0.397740773607352,0.148403120210036,-2.68013754053437,0.00735919152673968,0.124936783740702,"ENSG00000002745"
"ENSG00000002746",0.333722097527654,-0.294093718038009,0.606660136663852,-0.484775082891205,0.627835899543797,0.93948209074992,"ENSG00000002746"
"ENSG00000002822",758.556030965541,-0.0742920914362963,0.0578413419919038,-1.28441161421696,0.198997971314445,0.599037039382236,"ENSG00000002822"
"ENSG00000002834",7179.94975268897,0.0659050285182436,0.0408336918992656,1.61398652565699,0.10653034898992,0.459129626881593,"ENSG00000002834"
"ENSG00000002919",1170.23701134948,-0.026941797732138,0.0484045786213845,-0.556596059700754,0.577803446536573,0.913821883123472,"ENSG00000002919"
"ENSG00000002933",944.631610189672,0.219769527720866,0.241998931004712,0.908142555871817,0.363802909169533,0.770901371165854,"ENSG00000002933"
"ENSG00000003056",7092.71973085039,0.0542437314957799,0.0379139821886664,1.4307052006791,0.152514722096279,0.531122438593162,"ENSG00000003056"
"ENSG00000003096",12.4902730054419,-0.0764838653433064,0.135091258322774,-0.56616443057006,0.571282007237995,0.909972793696206,"ENSG00000003096"
"ENSG00000003137",0.382476101327849,0.165548730161838,0.655556017820725,0.252531783190969,0.800630050545441,0.999894806750632,"ENSG00000003137"
"ENSG00000003147",97.3628679891729,-0.083073384923223,0.0634947094081724,-1.30835128938366,0.190754186207324,0.588724552978003,"ENSG00000003147"
