"","baseMean","LFC_HA_AA","lfcSE","stat","pvalue","FDR_HA_AA","Ensembl_ID","Gene_name"
"ENSG00000017427",10.4188380127476,-0.717241233728682,0.260275546233733,-2.75569965794859,0.00585667479488171,0.0895398747528535,"ENSG00000017427","IGF1"
"ENSG00000048462",153.96976237916,-0.532157220528949,0.177916411889683,-2.99105189272203,0.00278018243941958,0.0654946225958227,"ENSG00000048462","TNFRSF17"
"ENSG00000063438",56.5375894306799,-0.887788930626856,0.275310664545921,-3.22468049717986,0.00126113329084878,0.0495185096647744,"ENSG00000063438","AHRR"
"ENSG00000070182",18.1769167738515,0.501459420600596,0.170189981223908,2.94646851121546,0.00321425143606221,0.069210038342314,"ENSG00000070182","SPTB"
"ENSG00000087116",5.29413600949606,-0.917152684891969,0.280811436221504,-3.2660802467052,0.00109047342645406,0.0473237819454985,"ENSG00000087116","ADAMTS2"
"ENSG00000091137",5.75731009224562,0.598543818305491,0.190805205441443,3.13693652602776,0.00170723083047869,0.0554935640005384,"ENSG00000091137","SLC26A4"
"ENSG00000099994",22.6917255749654,0.565292650516699,0.113764033152214,4.96899270229239,6.73016025807235e-07,0.00231728121291308,"ENSG00000099994","SUSD2"
"ENSG00000101210",9.8714988887073,0.568564697522593,0.185700675561137,3.06172659741029,0.00220064355325102,0.0612940458733339,"ENSG00000101210","EEF1A2"
"ENSG00000102055",9.8008838925127,3.49526626449189,1.15904964922361,3.01563118269628,0.00256444980906536,0.0632454051973131,"ENSG00000102055","PPP1R2C"
"ENSG00000102854",4.55907022484537,0.917593040418669,0.268482601189319,3.41770020237413,0.000631526284842632,0.0405564938975264,"ENSG00000102854","MSLN"
"ENSG00000105609",27.0021939354543,1.26577686058042,0.210597625249285,6.01040424402753,1.85061290557705e-09,2.97482130195415e-05,"ENSG00000105609","LILRB5"
"ENSG00000105976",7.05561569850628,-0.949577929858667,0.285440058103743,-3.32671572507018,0.000878759711354975,0.0446471315189622,"ENSG00000105976","MET"
"ENSG00000108691",51.4066495864621,0.574829229858683,0.194820224204858,2.95056240800872,0.00317195956606255,0.0688778273979289,"ENSG00000108691","CCL2"
"ENSG00000109819",9.36533429410116,-0.803082869711691,0.261980397359704,-3.06543114601449,0.00217356417774135,0.0612408878858697,"ENSG00000109819","PPARGC1A"
"ENSG00000112562",2.09718067985347,1.04052838118021,0.359647738530511,2.89318761027586,0.00381353432942051,0.0742827052666845,"ENSG00000112562","SMOC2"
"ENSG00000115155",66.6623405523733,0.505833861888208,0.152836001206766,3.30965124639635,0.000934122826965144,0.0452279274436072,"ENSG00000115155","OTOF"
"ENSG00000115414",22.2742686610046,1.11404520545301,0.281678491956393,3.95502403366133,7.65269583959797e-05,0.0216263718833061,"ENSG00000115414","FN1"
"ENSG00000132170",15.9966790781293,-0.543762754386023,0.14627705419742,-3.71734827016782,0.000201324824080504,0.0273133382707343,"ENSG00000132170","PPARG"
"ENSG00000132465",10762.8848758362,-0.624371349982111,0.181453384054011,-3.44094629723887,0.000579683572939215,0.0402699982194037,"ENSG00000132465","JCHAIN"
"ENSG00000134765",73.5438313716081,-0.584455058478257,0.167435461291483,-3.49062889050008,0.000481885109085127,0.0378792691282687,"ENSG00000134765","DSC1"
"ENSG00000135111",1.62346794839995,-2.03019585367739,0.683041904918581,-2.97228594476849,0.00295591246598798,0.0663788373551915,"ENSG00000135111","TBX3"
"ENSG00000137267",296.342823463683,0.521140676503898,0.167838163698942,3.10501893620982,0.00190266843153271,0.0577526805651596,"ENSG00000137267","TUBB2A"
"ENSG00000143333",170.032485573973,0.647509747342337,0.237612393164884,2.7250672354157,0.00642883939104371,0.0942463374699558,"ENSG00000143333","RGS16"
"ENSG00000145147",3.52776150432773,0.848851094939183,0.301634873576343,2.81416762218093,0.00489037208719442,0.0811987037082155,"ENSG00000145147","SLIT2"
"ENSG00000149131",285.240646739632,0.530072631700724,0.18247402913909,2.90492095889809,0.00367345854061471,0.0734615428761395,"ENSG00000149131","SERPING1"
"ENSG00000152076",3.36409969741938,0.69098984332074,0.228553037627589,3.02332382230972,0.00250014555915213,0.0628381865327162,"ENSG00000152076","CCDC74B"
"ENSG00000152766",68.7773074490296,0.78271040519027,0.195799260899075,3.99751460550057,6.40110425523458e-05,0.0213746079710111,"ENSG00000152766","ANKRD22"
"ENSG00000154721",9.19975960130352,0.547927539609481,0.187045749718904,2.92937711994481,0.0033964207362772,0.070415844429512,"ENSG00000154721","JAM2"
"ENSG00000158270",19.8664980848349,-0.710079305043164,0.163018946316011,-4.35580845717578,1.32576673630782e-05,0.011156061932683,"ENSG00000158270","COLEC12"
"ENSG00000160789",2284.02807982691,0.666992177269059,0.209520363903199,3.18342410658096,0.00145544262087576,0.052659817469963,"ENSG00000160789","LMNA"
"ENSG00000162627",10.2191685703407,1.23342470826402,0.264716075861195,4.65942502453373,3.17093865138496e-06,0.00555891970076546,"ENSG00000162627","SNX7"
"ENSG00000162747",99.6906183723926,0.856438630909127,0.169687186317031,5.04716148283006,4.48422324314291e-07,0.00188669208731995,"ENSG00000162747","FCGR3B"
"ENSG00000163806",6.09630798958665,0.509313279816952,0.187316850072632,2.71899340406091,0.0065480913848155,0.0952026072037059,"ENSG00000163806","SPDYA"
"ENSG00000163958",5.46494217494328,0.673735199964876,0.223193543932193,3.01861419508424,0.00253933680181331,0.0629426550349563,"ENSG00000163958","ZDHHC19"
"ENSG00000164458",1.15011186148305,1.562359051258,0.474489491479212,3.29271581207704,0.000992247136777865,0.045876709926145,"ENSG00000164458","TBXT"
"ENSG00000165949",39.5745684460425,0.634154406084758,0.211808989774161,2.99399192999748,0.00275353227403269,0.0653809813940673,"ENSG00000165949","IFI27"
"ENSG00000167618",133.838389621293,0.574498776829775,0.182700590078933,3.1444823280624,0.00166380960056624,0.0551205709718299,"ENSG00000167618","LAIR2"
"ENSG00000167634",13.346554635361,-0.570832261235161,0.170882360975254,-3.3404984456987,0.000836281488170947,0.0439448597992627,"ENSG00000167634","NLRP7"
"ENSG00000167680",42.5396822313202,-0.784440203090115,0.283021755081053,-2.77166044308313,0.00557711800488964,0.0872311014638389,"ENSG00000167680","SEMA6B"
"ENSG00000168062",59.4501783049106,0.503611926493449,0.172146381350636,2.92548656871078,0.00343918021742008,0.0710010149498196,"ENSG00000168062","BATF2"
"ENSG00000169245",131.699353132203,0.626582258489655,0.18303063074953,3.42337375948349,0.00061848972200551,0.0405564938975264,"ENSG00000169245","CXCL10"
"ENSG00000170891",20.7898888234904,-0.510137413323415,0.16077251712209,-3.17303866640352,0.00150852432406453,0.0532319968792602,"ENSG00000170891","CYTL1"
"ENSG00000171659",100.357261811863,-0.526055039231156,0.147003190170394,-3.57852804841443,0.000345534790882403,0.0341976500443787,"ENSG00000171659","GPR34"
"ENSG00000173114",617.905914678686,-0.689701720686764,0.185472624628175,-3.71861735428308,0.000200316225158259,0.0273133382707343,"ENSG00000173114","LRRN3"
"ENSG00000173369",78.5390176341402,0.510984076990429,0.173833442500673,2.93950387013967,0.00328738165142977,0.0695594546206958,"ENSG00000173369","C1QB"
