"","baseMean","LFC_RA_AA","lfcSE","stat","pvalue","FDR_RA_AA","Ensembl_ID","Gene_name"
"ENSG00000087116",5.29413600949606,-1.10110774671572,0.308398028687653,-3.57041110606749,0.000356421398789206,0.0712299375193128,"ENSG00000087116","ADAMTS2"
"ENSG00000099994",22.6917255749654,0.548125460079698,0.127252522734053,4.30738384043854,1.65196798634739e-05,0.0248231789491357,"ENSG00000099994","SUSD2"
"ENSG00000102854",4.55907022484537,0.997161597974618,0.30192548798406,3.30267445995571,0.000957674952596281,0.0794826877235753,"ENSG00000102854","MSLN"
"ENSG00000105609",27.0021939354543,1.08645143143488,0.232963683432775,4.66360857377321,3.10712131556809e-06,0.0130729022231212,"ENSG00000105609","LILRB5"
"ENSG00000105976",7.05561569850628,-0.98271701029568,0.317198647318315,-3.09811223535737,0.00194757655023127,0.0954093979411747,"ENSG00000105976","MET"
"ENSG00000106366",34.4859250649155,0.500191564596248,0.161462742247447,3.09787606499144,0.00194912922363868,0.0954093979411747,"ENSG00000106366","SERPINE1"
"ENSG00000109819",9.36533429410116,-0.955886474176768,0.289591615861327,-3.30080852421674,0.000964066520371029,0.0794826877235753,"ENSG00000109819","PPARGC1A"
"ENSG00000112562",2.09718067985347,1.2786753923317,0.408270548869635,3.1319314995214,0.00173660387955044,0.0951378536825589,"ENSG00000112562","SMOC2"
"ENSG00000115266",1.50723502278563,0.863813398931105,0.280170432419087,3.08317116646695,0.00204807317393947,0.0957451452448103,"ENSG00000115266","APC2"
"ENSG00000115414",22.2742686610046,0.987652260906615,0.313631638781398,3.14908363436831,0.00163783314800635,0.0941802516510478,"ENSG00000115414","FN1"
"ENSG00000115844",2.36281967043339,1.04921811515034,0.326963569001208,3.20897560041763,0.00133208795943092,0.0873398379600892,"ENSG00000115844","DLX2"
"ENSG00000123358",3277.18275999889,0.585204049463372,0.165708735246694,3.53152203227045,0.000413175440305366,0.0742903567325128,"ENSG00000123358","NR4A1"
"ENSG00000130150",874.860998102419,-0.513112290758295,0.106830613073971,-4.80304545667084,1.56270390851961e-06,0.00821865053088177,"ENSG00000130150","MOSPD2"
"ENSG00000130222",34.8235800111342,0.636808848403961,0.20371018431956,3.12605307648732,0.00177169572389021,0.09529254514996,"ENSG00000130222","GADD45G"
"ENSG00000131188",16.7867022742651,0.520236334974255,0.16490103680063,3.15483968486648,0.00160586318930813,0.0941802516510478,"ENSG00000131188","PRR7"
"ENSG00000132170",15.9966790781293,-0.524100758744285,0.162671510949637,-3.22183494629584,0.00127372487422763,0.0866246160787751,"ENSG00000132170","PPARG"
"ENSG00000133116",21.5656349842417,-0.5214011283425,0.137406212264259,-3.7945964723905,0.000147883773992113,0.0600422172795934,"ENSG00000133116","KL"
"ENSG00000135116",42.3157383182674,0.512610013583966,0.158902664077889,3.22593718965406,0.0012556090865074,0.0863210730485493,"ENSG00000135116","HRK"
"ENSG00000137267",296.342823463683,0.629394974494279,0.186630816494784,3.3724064777473,0.000745143878362153,0.079031858300887,"ENSG00000137267","TUBB2A"
"ENSG00000149131",285.240646739632,0.627150620097009,0.203141728242097,3.08725649586673,0.00202013203771179,0.0954093979411747,"ENSG00000149131","SERPING1"
"ENSG00000152076",3.36409969741938,0.804457842828729,0.258296745968999,3.11447145727992,0.00184274784683524,0.0954093979411747,"ENSG00000152076","CCDC74B"
"ENSG00000152766",68.7773074490296,0.72975056000569,0.21835687127184,3.34200868401891,0.000831744584964242,0.0794826877235753,"ENSG00000152766","ANKRD22"
"ENSG00000154721",9.19975960130352,0.684459429651698,0.209201099418337,3.27177740248387,0.00106873685289146,0.0820548072053929,"ENSG00000154721","JAM2"
"ENSG00000158270",19.8664980848349,-0.581046356517598,0.180549257932808,-3.21821514621697,0.00128991023518949,0.0866959796092055,"ENSG00000158270","COLEC12"
"ENSG00000160789",2284.02807982691,0.78098734338418,0.233193336059738,3.3490980341913,0.000810751033573922,0.0794826877235753,"ENSG00000160789","LMNA"
"ENSG00000162627",10.2191685703407,1.1021662535846,0.294794641465148,3.7387594567756,0.000184930568433179,0.0605573932540739,"ENSG00000162627","SNX7"
"ENSG00000162747",99.6906183723926,0.840308480555954,0.189422118408162,4.43616874110382,9.15740756213108e-06,0.0192644382884551,"ENSG00000162747","FCGR3B"
"ENSG00000163958",5.46494217494328,0.824044313588412,0.250604555873114,3.28822558998346,0.00100821017006309,0.0799250794406024,"ENSG00000163958","ZDHHC19"
"ENSG00000164458",1.15011186148305,1.64228066410609,0.537856288744501,3.05338191348401,0.00226277758269366,0.0992340403224113,"ENSG00000164458","TBXT"
"ENSG00000166165",65.0561359180591,0.502470099539802,0.123913556993932,4.05500505133919,5.01332193978701e-05,0.034021049563645,"ENSG00000166165","CKB"
"ENSG00000167634",13.346554635361,-0.666265595336923,0.188817463336776,-3.52862274263566,0.000417728175362262,0.0744724375008127,"ENSG00000167634","NLRP7"
"ENSG00000168062",59.4501783049106,0.620729828629258,0.191583080629511,3.24000337915874,0.00119528283071154,0.084663854914743,"ENSG00000168062","BATF2"
"ENSG00000169994",145.689017684045,0.525988881257064,0.117047890245439,4.49379207223739,6.9965947042111e-06,0.0188345822099338,"ENSG00000169994","MYO7B"
"ENSG00000170579",9.40631738304504,0.600643788571249,0.187792624157784,3.19844185183006,0.00138172395105498,0.0890842598699605,"ENSG00000170579","DLGAP1"
"ENSG00000171659",100.357261811863,-0.531641883415601,0.163962567286266,-3.24245888689579,0.00118503044692624,0.084663854914743,"ENSG00000171659","GPR34"
