feat1	feat2	R	p	Padj	name_int	type	sign	color
GPC1	ADAM23	0.46310908931852	5.41453821443216e-05	0.00217939406499401	GPC1 (interacts with) ADAM23	prot-prot	NA	prot-prot_NA
TCTN3	ADAM23	0.443268305485084	0.00012152913121577	0.00428985304415253	TCTN3 (interacts with) ADAM23	prot-prot	NA	prot-prot_NA
ANGPT1	AKR1B1	0.569836409762925	2.62330417832857e-07	2.11180098117485e-05	ANGPT1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
ANXA4	AKR1B1	0.720724346076459	1.99551486446126e-12	5.33800226243386e-10	ANXA4 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
APP	AKR1B1	0.575785145656548	1.84038565942402e-07	1.5470083055322e-05	APP (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
ATP6V1G1	AKR1B1	0.490648237249584	1.61768895892145e-05	0.000761544499818566	ATP6V1G1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
CCT5	AKR1B1	0.475181523926166	3.22917248594123e-05	0.00140194673607728	CCT5 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
CDC26	AKR1B1	0.719114688128773	2.35522712443981e-12	6.20330590313992e-10	CDC26 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
CDKN1A	AKR1B1	0.656198057912694	6.9742167596587e-10	1.10554250856812e-07	CDKN1A (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
CDKN2D	AKR1B1	0.764115125535824	1.4210854715202e-14	5.65790308661066e-12	CDKN2D (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
DAB2	AKR1B1	0.761105765024932	2.06501482580279e-14	8.03478495857813e-12	DAB2 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
DBI	AKR1B1	0.547546146443881	9.32407584475214e-07	6.31773793385845e-05	DBI (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
DGKA	AKR1B1	0.456009588063885	7.27259300101757e-05	0.00278746549650942	DGKA (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
DTYMK	AKR1B1	0.534353949785671	1.89350016377432e-06	0.000117878992013878	DTYMK (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
DUT	AKR1B1	0.509474236724696	6.6577054638195e-06	0.000353974899194378	DUT (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
ENO1	AKR1B1	0.579424372320882	1.47646064707629e-07	1.27661647868415e-05	ENO1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
FABP5	AKR1B1	0.490228326480623	1.64906631421324e-05	0.00077418689120651	FABP5 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
FGF2	AKR1B1	0.524416061586913	3.1664968576095e-06	0.000186076977811011	FGF2 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
