feat1	feat2	R	p	Padj	name_int
GENDER.x	AGE.x	-0.227811330515927	0.00399243555858741	0.0316514293537362	GENDER.x (interacts with) AGE.x
Duration.of.therapy	AGE.x	0.310682066923814	7.09801460327952e-05	0.00105996154597022	Duration.of.therapy (interacts with) AGE.x
Ethnic	AGE.x	0.268697365069543	0.00069478001220169	0.00759216043032459	Ethnic (interacts with) AGE.x
hypertension	AGE.x	0.232380000243816	0.00330222483147491	0.0272506069769165	hypertension (interacts with) AGE.x
VAT	AGE.x	0.230302203741149	0.0041843321149555	0.0328373252186926	VAT (interacts with) AGE.x
ABCA2	AGE.x	0.244164046278031	0.00199043547107269	0.0181374048936007	ABCA2 (interacts with) AGE.x
ACE2	AGE.x	0.258958960520081	0.00101821288688964	0.0104519877620765	ACE2 (interacts with) AGE.x
ACRV1	AGE.x	0.370669165627106	1.63372881578638e-06	3.51999821032811e-05	ACRV1 (interacts with) AGE.x
ACTA2	AGE.x	0.460524250940946	1.14089471203727e-09	3.96511653872729e-08	ACTA2 (interacts with) AGE.x
ACVRL1	AGE.x	0.35212211969466	5.70240893149609e-06	0.000110303569756902	ACVRL1 (interacts with) AGE.x
ADAM12	AGE.x	0.229658422321665	0.00369912096942904	0.0298075760955213	ADAM12 (interacts with) AGE.x
ADAMTS1	AGE.x	0.245070929342353	0.00191245311477717	0.0175551393168544	ADAMTS1 (interacts with) AGE.x
ADAMTS13	AGE.x	-0.229770681521147	0.00368193630559199	0.0297010004325974	ADAMTS13 (interacts with) AGE.x
ADAMTS16	AGE.x	0.302160888065346	0.000114069666620642	0.00160909425085669	ADAMTS16 (interacts with) AGE.x
ADAMTS4	AGE.x	0.403191790735379	1.50052373415477e-07	3.8651693245395e-06	ADAMTS4 (interacts with) AGE.x
ADGRG1	AGE.x	0.271931966473208	0.00054752801168112	0.00621177486222894	ADGRG1 (interacts with) AGE.x
ADM	AGE.x	0.372144067853969	1.4741375493621e-06	3.20258895976473e-05	ADM (interacts with) AGE.x
AFP	AGE.x	0.240493287734675	0.00233648432375233	0.02065212568832	AFP (interacts with) AGE.x
AKR1B10	AGE.x	0.218814604349875	0.00574181781798755	0.0420353905235469	AKR1B10 (interacts with) AGE.x
ALDH3A1	AGE.x	0.216407569260751	0.00631343934602002	0.0452369439651579	ALDH3A1 (interacts with) AGE.x
AMBP	AGE.x	0.32779988911195	2.61742029401546e-05	0.000436539529685668	AMBP (interacts with) AGE.x
ANGPTL4	AGE.x	0.233007515253668	0.00321634683653071	0.0266869141062249	ANGPTL4 (interacts with) AGE.x
ANGPTL7	AGE.x	0.220032668710649	0.00547055137756614	0.0404888770706302	ANGPTL7 (interacts with) AGE.x
ANXA5	AGE.x	0.320644784910573	4.00095439025971e-05	0.00063777215358367	ANXA5 (interacts with) AGE.x
AOC3	AGE.x	0.26509592266488	0.000762175889707617	0.00820511593819394	AOC3 (interacts with) AGE.x
APLP1	AGE.x	-0.230406945865372	0.00358588804527438	0.0290860917761597	APLP1 (interacts with) AGE.x
APOA2	AGE.x	0.280173073943409	0.000363249884317574	0.00438155317139996	APOA2 (interacts with) AGE.x
APOE	AGE.x	0.243163710921745	0.00207979747806242	0.0187938580018919	APOE (interacts with) AGE.x
APOL1	AGE.x	-0.224512100397395	0.00456879331663007	0.0351880740464567	APOL1 (interacts with) AGE.x
ASGR1	AGE.x	0.227216376103559	0.0040912714102106	0.0322671110005783	ASGR1 (interacts with) AGE.x
ASPN	AGE.x	0.220593146104092	0.00534962528669491	0.0397908453710415	ASPN (interacts with) AGE.x
ATOX1	AGE.x	0.2466336717695	0.00178456623750534	0.0165908106163414	ATOX1 (interacts with) AGE.x
ATP6V1G2	AGE.x	0.273467284356477	0.000507722494668128	0.005827694863694	ATP6V1G2 (interacts with) AGE.x
ATRAID	AGE.x	0.32249292687694	3.58925879344607e-05	0.0005787865306379	ATRAID (interacts with) AGE.x
AXL	AGE.x	-0.279149350916623	0.000382510744283415	0.00457999027904932	AXL (interacts with) AGE.x
AZI2	AGE.x	0.234950508095097	0.00296307058755652	0.0250005085302899	AZI2 (interacts with) AGE.x
B2M	AGE.x	0.312957752297469	6.23793020984031e-05	0.000945574796361284	B2M (interacts with) AGE.x
BCAN	AGE.x	-0.226453390472378	0.00422123731410884	0.0330644941044353	BCAN (interacts with) AGE.x
BCAT1	AGE.x	0.216017027078024	0.00641082176013508	0.0457725086426855	BCAT1 (interacts with) AGE.x
BCL2	AGE.x	0.264181411466899	0.000796138382527678	0.00851087098177582	BCL2 (interacts with) AGE.x
BCL2L11	AGE.x	0.288761950267316	0.000233637048152602	0.00299888971290781	BCL2L11 (interacts with) AGE.x
BCL2L15	AGE.x	0.224353161387698	0.00459835492163219	0.0353668009850352	BCL2L15 (interacts with) AGE.x
BGN	AGE.x	0.249223009390295	0.00158970009834536	0.0150936159686903	BGN (interacts with) AGE.x
BNIP3L	AGE.x	0.234047438492665	0.00307845782780314	0.0257728997996655	BNIP3L (interacts with) AGE.x
BTN2A1	AGE.x	0.236431801292473	0.00278224152414097	0.0237758475016768	BTN2A1 (interacts with) AGE.x
BTN3A2	AGE.x	0.316253662889983	5.16398834315979e-05	0.000800197626005854	BTN3A2 (interacts with) AGE.x
C1QL2	AGE.x	-0.292810714404029	0.000188824332338244	0.00249390420013212	C1QL2 (interacts with) AGE.x
