Features	Name_C1	Name_C2	type	Mean_C1	Mean_C2
1-methyl-4-imidazoleacetate	1-methyl-4-imidazoleacetate		met	-0.0028123861302189	0.169976208483383
1-methyl-5-imidazoleacetate			met	-0.0864791771934721	0.0100037756852907
1-ribosyl-imidazoleacetate*	1-ribosyl-imidazoleacetate*	1-ribosyl-imidazoleacetate*	met	0.0216682285790314	0.0935568604934517
1H-indole-7-acetic acid			met	-1.30020752991008	-1.38302816884902
2-aminobutyrate	2-aminobutyrate		met	-0.153935207473325	0.030962842972947
2-hydroxybutyrate/2-hydroxyisobutyrate			met	-0.13856089140637	0.220165386922049
2-hydroxyphenylacetate			met	-0.0086330650860009	0.0982519530485347
2-oxindole-3-acetate			met	-0.364074004481165	-0.209720687318611
2,3-dihydroxy-2-methylbutyrate			met	0.00187013546063113	0.151310257802544
2R,3R-dihydroxybutyrate		2R,3R-dihydroxybutyrate	met	-0.0924538086607934	0.146916019160778
2S,3R-dihydroxybutyrate		2S,3R-dihydroxybutyrate	met	-0.258511418795104	0.153256439704234
3-(3-hydroxyphenyl)propionate			met	-0.250383343801242	0.0446331855915887
3-(3-hydroxyphenyl)propionate sulfate			met	-0.48939156952967	-0.118373953394545
3-aminoisobutyrate			met	0.000145822288369494	0.143694201285371
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)			met	-0.0505905044396587	0.0733677864734863
3-formylindole			met	-0.0704176683938822	0.064904826210588
3-hydroxy-2-ethylpropionate		3-hydroxy-2-ethylpropionate	met	-0.136421571842007	0.203257891968137
3-hydroxybutyrate (BHBA)		3-hydroxybutyrate (BHBA)	met	-0.17952345968741	0.744217041694296
3-hydroxyisobutyrate			met	-0.109316579975011	0.239167575017682
3-indoleglyoxylic acid			met	-0.136590108579574	-0.00513398886459184
3-methyl-2-oxobutyrate		3-methyl-2-oxobutyrate	met	-0.0470923543062578	0.076423427465637
3-phenylpropionate (hydrocinnamate)			met	-0.77254314293181	-0.270333151634891
3-ureidopropionate		3-ureidopropionate	met	-0.0716607307164413	0.0676459838497024
3,4-dihydroxybutyrate	3,4-dihydroxybutyrate		met	0.0773415522131302	0.146961434800873
4-imidazoleacetate			met	-0.256046789417914	-0.183135349618731
6-hydroxyindole sulfate			met	-0.199092201380483	0.0845616364403046
7-hydroxyindole sulfate	7-hydroxyindole sulfate		met	-0.858675555425573	-1.03358587115248
acetoacetate		acetoacetate	met	-0.0198140742247283	0.489455800750369
ADAM23			prot	0.372288636363636	0.385178571428571
AHNAK2	AHNAK2		prot	0.161535227272727	0.269297142857143
AKAP12			prot	0.476905681818182	0.417565714285714
AKR1B1			prot	0.530794318181818	1.39269571428571
alpha-ketobutyrate			met	-0.0557892081017814	0.121277488427125
AMPD3			prot	2.26432727272727	2.70273428571429
ANGPT1			prot	-1.71637159090909	-0.547935714285714
ANGPTL4		ANGPTL4	prot	0.403705681818182	0.571454285714286
ANXA4		ANXA4	prot	-0.295223863636364	0.46893
APEX1			prot	-1.69167954545455	-0.97647
APLP1			prot	1.10165227272727	0.644062857142857
APOC1			prot	0.319796590909091	0.361504285714286
APP			prot	-0.219202272727273	0.154398571428571
ASAH1			prot	0.282556818181818	0.731204285714286
ATG4A			prot	1.63106931818182	2.22650428571429
ATP2B4			prot	0.197843181818182	0.0371157142857143
ATP6AP2			prot	-0.386995454545455	-0.202265714285714
ATP6V1G1		ATP6V1G1	prot	0.979407954545455	1.78200285714286
BGN			prot	-0.276877272727273	-0.175148571428571
BTC			prot	-1.50220454545455	-1.18315428571429
butyrate/isobutyrate (4:0)			met	-0.298787480069671	-0.262946155160564
C1QBP			prot	-0.0582556818181818	0.219011428571429
C3	C3		prot	-0.0591306818181818	0.161917142857143
CALCOCO1			prot	-0.694243181818182	-0.19857
CASP1			prot	-2.18021363636364	-1.91483714285714
CBS	CBS		prot	-0.1817625	0.275561428571429
CCND2			prot	0.200275	0.189671428571429
CCT5			prot	-0.842681818181818	-0.648287142857143
CD36			prot	0.299359090909091	0.525902857142857
CDC26		CDC26	prot	0.276784090909091	1.49174
CDC27			prot	0.0825477272727273	0.444804285714286
CDK1			prot	0.412938636363636	0.58007
CDKN1A			prot	-0.045975	1.52737285714286
CDKN2D		CDKN2D	prot	-0.378870454545455	1.56946
CEBPB			prot	0.196432954545455	0.241042857142857
CENPF			prot	0.749829545454545	1.25082714285714
CENPJ			prot	-0.654003409090909	-0.422628571428571
CIT			prot	0.374153409090909	0.67066
citalopram propionate*			met	-0.466238765866797	-0.469662088233225
CLSPN			prot	0.0504511363636364	0.105891428571429
COCOMO_ID			met	NA	NA
COL15A1			prot	0.215315909090909	0.276044285714286
COL6A3	COL6A3		prot	0.150030681818182	0.315561428571429
COLEC12	COLEC12	COLEC12	prot	0.134254545454545	0.214918571428571
CPA4			prot	-0.156906818181818	-0.0250328571428571
CPPED1			prot	0.0767170454545455	0.569662857142857
CPQ			prot	0.307813636363636	0.334698571428571
CREG1			prot	0.140334090909091	0.402638571428571
CTSB		CTSB	prot	0.353763636363636	0.569582857142857
CTSC			prot	0.0100545454545455	0.222962857142857
CTSD			prot	0.154442045454545	0.504371428571429
CTSF			prot	0.394367045454545	0.387054285714286
CTSZ			prot	0.274601136363636	0.39422
CXCL10			prot	-0.253188636363636	0.173214285714286
CXCL12			prot	1.01174886363636	1.10086428571429
CXCL8			prot	7.33757272727273	8.50644571428571
CYTL1			prot	0.422820454545455	0.512017142857143
DAB2		DAB2	prot	0.5556625	2.29217857142857
DBI			prot	0.154927272727273	1.08380428571429
DDA1			prot	-0.0129681818181818	0.164401428571429
DDAH1			prot	0.232438636363636	0.701678571428571
DDX39A			prot	0.161735227272727	0.182904285714286
DDX58			prot	-0.0765272727272727	0.278935714285714
deoxycholate			met	-0.242337956617523	0.10702649831437
deoxycholic acid 12-sulfate*			met	-0.898861349453326	0.0684045342520984
deoxycholic acid glucuronide			met	-0.51548865190379	-0.211561426810089
DGKA			prot	0.0714068181818182	0.343464285714286
DKK3			prot	0.428080681818182	0.394552857142857
DLGAP5			prot	-0.0884454545454545	-0.12419
DNER			prot	-0.269238636363636	-0.272687142857143
DPP4			prot	0.0580602272727273	0.159051428571429
DTYMK			prot	1.54871022727273	2.57410285714286
DUSP3			prot	-3.54940227272727	-2.58670285714286
DUT	DUT	DUT	prot	1.28566136363636	2.47338
DYNLT3			prot	0.353151136363636	0.40285
ECHDC3			prot	-0.342582954545455	0.0997242857142857
EDEM2			prot	-0.151038636363636	-0.14087
EDIL3			prot	-0.161128409090909	-0.547161428571429
EDN1			prot	0.731123863636364	0.744798571428571
EFEMP1			prot	0.7130375	0.71451
EIF4EBP1			prot	1.28380113636364	1.97970142857143
ENO1			prot	0.100839772727273	1.18838142857143
ENPP2			prot	-0.0189397727272727	-0.05855
EPHA4			prot	0.429014772727273	0.384542857142857
ERI1			prot	0.0942045454545455	0.284267142857143
ESPL1			prot	0.294223863636364	0.290282857142857
F3			prot	0.412480681818182	0.434484285714286
FABP5			prot	-0.307689772727273	0.504398571428571
FAS			prot	-0.0232465909090909	0.123384285714286
FEN1			prot	-0.809640909090909	-0.292812857142857
FGF2			prot	0.146364772727273	0.404437142857143
FH			prot	0.241065909090909	0.260882857142857
FKBP5			prot	0.192005681818182	1.75609857142857
FN1			prot	0.687410227272727	0.834964285714286
FOLR3			prot	-2.33946590909091	-1.68128142857143
FOS			prot	0.232615909090909	0.230022857142857
FST			prot	0.567728409090909	0.662424285714286
FUCA1			prot	-0.0664488636363636	-0.17839
FUS			prot	-0.615310227272727	-0.407958571428571
FZD8			prot	-0.264786363636364	-0.20901
GABARAP			prot	0.177406818181818	0.324268571428571
GABARAPL1			prot	-0.190803409090909	-0.184684285714286
GALNT5			prot	0.304714772727273	0.437195714285714
gamma-glutamyl-2-aminobutyrate			met	-0.253287407688904	-0.13861077516861
GART			prot	0.283392045454545	0.271135714285714
GAS6			prot	0.390703409090909	0.413828571428571
GBA			prot	-0.167272727272727	0.0241371428571429
GDF15	GDF15		prot	1.13968181818182	1.42987
GGCT		GGCT	prot	0.625038636363636	1.38310714285714
GGH			prot	0.169493181818182	0.182235714285714
GLB1		GLB1	prot	0.4904625	0.895634285714286
GLRX			prot	0.944620454545455	1.48435714285714
glycocholenate sulfate*			met	-0.106119847305284	0.0590212266730977
glycodeoxycholate			met	-0.896277718103697	-0.258022245498017
glycodeoxycholate 3-sulfate			met	-0.684569558846122	0.070578493644891
glycohyocholate			met	-1.28807740461079	-1.33790267030927
glycolithocholate			met	-0.822375423470503	-0.688019720024445
glycolithocholate sulfate*			met	-0.657483791228358	-0.0678371929710171
glycoursodeoxycholate			met	-0.334106873957801	-0.242553392715093
glycoursodeoxycholic acid sulfate (1)	glycoursodeoxycholic acid sulfate (1)		met	-1.48149365479823	-1.14001714841784
GM2A		GM2A	prot	0.600136363636364	0.690647142857143
GPC1			prot	0.148579545454545	0.197015714285714
GPNMB			prot	0.295604545454545	0.40159
GRN			prot	0.0188727272727273	0.03135
guanidinoacetate			met	-0.0242109251634497	0.0750103042141279
GUSB			prot	0.135918181818182	0.601634285714286
HAGH			prot	2.26531022727273	2.95837285714286
HDAC9			prot	0.0247113636363636	-0.0463757142857143
HEG1			prot	0.342723863636364	0.471574285714286
HEPH			prot	0.145989772727273	0.212037142857143
HMMR			prot	0.293767045454545	0.17159
HSPA2			prot	0.455384090909091	0.616425714285714
hydantoin-5-propionate			met	-0.0135392657897214	0.179920311560916
hyocholate			met	-1.46181567753421	-1.57440163391111
ICAM1			prot	0.202055681818182	0.331651428571429
ID4			prot	-1.31577954545455	-1.30403285714286
IDS			prot	-0.0335863636363636	-0.0616142857142857
IFIT1			prot	-0.0477511363636364	-0.120481428571429
IFIT3			prot	-0.3935	-0.304308571428571
IGF2R			prot	0.253196590909091	0.353144285714286
IGFBP3			prot	-0.0333352272727273	-0.00537142857142857
IGFBP7			prot	0.426186363636364	0.520435714285714
IL11			prot	0.853356818181818	0.900698571428571
IL1A			prot	0.0202284090909091	-0.106058571428571
IL6			prot	1.19177386363636	1.75375
imidazole propionate			met	0.410087933115424	0.169590534782103
iminodiacetate (IDA)			met	-0.0520940431013524	0.0384135910919463
indole-3-carboxylate			met	-0.428775337530373	-0.108154204125083
indoleacetate			met	0.00292656886359935	0.261779023263839
indoleacetoylcarnitine*			met	-0.232111135018579	0.0373936724469008
indoleacetylglutamine			met	-0.069997381697393	0.203663830444946
indolelactate		indolelactate	met	0.0265736907476475	0.0902059765672609
indolepropionate			met	-0.578173700614132	-0.237244826994204
INPP5D		INPP5D	prot	0.233222727272727	0.705607142857143
isoursodeoxycholate			met	-0.0119209253818311	0.0150151606854525
ITGA2			prot	0.204239772727273	0.09406
ITGAV			prot	0.176551136363636	0.164225714285714
ITGB5			prot	0.169990909090909	0.283018571428571
JPT2		JPT2	prot	0.0336659090909091	1.37565571428571
JUN	JUN		prot	0.151302272727273	0.236622857142857
KIF20B			prot	-0.268743181818182	-0.416325714285714
KIF22			prot	-0.302372727272727	0.373271428571429
KITLG			prot	0.182806818181818	0.0733214285714286
L1CAM			prot	0.0810613636363636	0.107258571428571
LBR			prot	-0.252996590909091	0.548041428571429
lithocholate sulfate (1)			met	-0.965982863574085	-0.394881385365735
LMNB1			prot	-1.39559659090909	-1.31783142857143
LMNB2			prot	0.244570454545455	0.372138571428571
LMOD1	LMOD1		prot	2.45744886363636	2.51521571428571
LPCAT2			prot	-0.0743397727272727	-0.0475942857142857
LRP1			prot	0.749745454545454	0.741477142857143
LRPAP1			prot	0.009525	0.198058571428571
LXN	LXN		prot	2.09237045454545	2.61942142857143
LYAR			prot	0.193556818181818	0.519961428571429
MAMDC2			prot	0.161375	0.19521
MAN2B2			prot	0.188475	0.28284
MANSC1	MANSC1		prot	0.294397727272727	0.203822857142857
MAPRE3			prot	0.243169318181818	0.0657914285714286
MASP1			prot	-0.207920454545455	-0.198871428571429
MATN2			prot	0.227598863636364	0.267247142857143
MCFD2			prot	0.393872727272727	0.722761428571429
MDK			prot	0.463726136363636	0.727218571428571
