feat1	feat2	R	p	Padj	name_int
GENDER.x	AGE.x	-0.227811330515927	0.00399243555858741	0.0180927509890457	GENDER.x (interacts with) AGE.x
Duration.of.therapy	AGE.x	0.310682066923814	7.09801460327952e-05	0.000555036354820703	Duration.of.therapy (interacts with) AGE.x
Ethnic	AGE.x	0.268697365069543	0.00069478001220169	0.00409377941955779	Ethnic (interacts with) AGE.x
hypertension	AGE.x	0.232380000243816	0.00330222483147491	0.0154395848224869	hypertension (interacts with) AGE.x
VAT	AGE.x	0.230302203741149	0.0041843321149555	0.0188171888706688	VAT (interacts with) AGE.x
TSPAN6	AGE.x	-0.274106797804698	0.000491944449388271	0.00303600992481662	TSPAN6 (interacts with) AGE.x
CFH	AGE.x	0.202017496814803	0.0109134408081526	0.0414238295411416	CFH (interacts with) AGE.x
HS3ST1	AGE.x	-0.252157593645609	0.00139243702141667	0.00743693094787448	HS3ST1 (interacts with) AGE.x
WNT16	AGE.x	-0.208307276657749	0.00862762404762329	0.0341990902425514	WNT16 (interacts with) AGE.x
PLXND1	AGE.x	0.238064588991455	0.00259453247492725	0.012604105650683	PLXND1 (interacts with) AGE.x
ABCB4	AGE.x	-0.199462606818079	0.0119845488118639	0.0446881802469272	ABCB4 (interacts with) AGE.x
ALDH3B1	AGE.x	0.213293727634667	0.00712790113974071	0.0292429717327083	ALDH3B1 (interacts with) AGE.x
GAS7	AGE.x	0.209998863538774	0.00809018841495623	0.0324466441186948	GAS7 (interacts with) AGE.x
CD79B	AGE.x	-0.217336178731986	0.00608716419195865	0.0256789098250309	CD79B (interacts with) AGE.x
CACNA2D2	AGE.x	0.264578804964601	0.000781212904770623	0.00452925696834082	CACNA2D2 (interacts with) AGE.x
ZBTB32	AGE.x	-0.201987045205783	0.0109256940582547	0.0414622663103092	ZBTB32 (interacts with) AGE.x
CD22	AGE.x	-0.209619741006483	0.00820798930605982	0.0328341573209817	CD22 (interacts with) AGE.x
LTF	AGE.x	0.198902779984013	0.0122312167328809	0.0454314297979862	LTF (interacts with) AGE.x
ADGRA2	AGE.x	0.280696841618542	0.00035374649365405	0.00228034522148659	ADGRA2 (interacts with) AGE.x
OSBPL5	AGE.x	0.332259028590552	1.99832671947675e-05	0.000179145765732351	OSBPL5 (interacts with) AGE.x
ANK1	AGE.x	-0.245578523516979	0.00187002829004657	0.00955717828367279	ANK1 (interacts with) AGE.x
GAB2	AGE.x	0.204210012664196	0.0100623825763799	0.0387802311781855	GAB2 (interacts with) AGE.x
STAP1	AGE.x	-0.221346655639834	0.00519082016242334	0.0225073623485727	STAP1 (interacts with) AGE.x
SLC18A1	AGE.x	0.220936872965427	0.00527665230017171	0.022815934977009	SLC18A1 (interacts with) AGE.x
VCAN	AGE.x	0.206589805909058	0.00920538157798889	0.036061905349819	VCAN (interacts with) AGE.x
CNTLN	AGE.x	0.1957170589087	0.0137214716817637	0.0498422887760951	CNTLN (interacts with) AGE.x
DCBLD2	AGE.x	-0.245572433195176	0.00187053220442834	0.00955929266006048	DCBLD2 (interacts with) AGE.x
TBXAS1	AGE.x	0.197321858704019	0.0129520041268476	0.047578966466931	TBXAS1 (interacts with) AGE.x
PSD	AGE.x	-0.294384839872739	0.000173671354731564	0.00122333477495669	PSD (interacts with) AGE.x
GNA15	AGE.x	0.220015920325688	0.00547420223621509	0.0235230634354341	GNA15 (interacts with) AGE.x
LTK	AGE.x	-0.30427095474087	0.000101563534327997	0.000762435565047849	LTK (interacts with) AGE.x
CHI3L2	AGE.x	-0.268709565728076	0.000640600923031309	0.00381671462885081	CHI3L2 (interacts with) AGE.x
PDE4A	AGE.x	0.260254676483854	0.000958362479319685	0.00539987925563528	PDE4A (interacts with) AGE.x
PDZD4	AGE.x	0.284804763675252	0.000286819016312778	0.00189896629156426	PDZD4 (interacts with) AGE.x
SDK2	AGE.x	-0.279029616024733	0.000384824214378465	0.00245370037194347	SDK2 (interacts with) AGE.x
LRP6	AGE.x	-0.214805650022478	0.00672145084092013	0.0278651247490155	LRP6 (interacts with) AGE.x
ST6GALNAC2	AGE.x	0.254024277278495	0.0012788708013507	0.00691494614409704	ST6GALNAC2 (interacts with) AGE.x
CYBRD1	AGE.x	0.198171458595659	0.0125601518429863	0.0464123675881004	CYBRD1 (interacts with) AGE.x
LIMS2	AGE.x	-0.238490911517726	0.00254744756153036	0.01241109758646	LIMS2 (interacts with) AGE.x
