feat1	feat2	R	p	Padj	name_int	type
EPHA4	ADAM23	0.395473858011538	0.000136998216026196	0.00816267792935666	EPHA4 (interacts with) ADAM23	prot-prot
GAS6	ADAM23	0.375403960811645	0.000313349051511924	0.0154597572388592	GAS6 (interacts with) ADAM23	prot-prot
IDS	ADAM23	0.347535498077116	0.000907910152076807	0.0340503478032542	IDS (interacts with) ADAM23	prot-prot
ITGB5	ADAM23	0.345563015963724	0.000975406866557282	0.0359633141897933	ITGB5 (interacts with) ADAM23	prot-prot
L1CAM	ADAM23	0.388453985908353	0.000184084190871125	0.0102432979882351	L1CAM (interacts with) ADAM23	prot-prot
MANSC1	ADAM23	0.393393975165609	0.00014963317227723	0.00878303968932406	MANSC1 (interacts with) ADAM23	prot-prot
PDCD1LG2	ADAM23	0.391722619706604	0.000160558165482438	0.00927656407523151	PDCD1LG2 (interacts with) ADAM23	prot-prot
PIK3IP1	ADAM23	0.350034782469124	0.000828500812005473	0.0316841412543567	PIK3IP1 (interacts with) ADAM23	prot-prot
TGOLN2	ADAM23	0.360399073655916	0.000562286394098388	0.0241261731001614	TGOLN2 (interacts with) ADAM23	prot-prot
TNFRSF19	ADAM23	0.377725921852863	0.000285513844036078	0.0144761468930102	TNFRSF19 (interacts with) ADAM23	prot-prot
TNFRSF21	ADAM23	0.438031920752732	1.97145291240819e-05	0.00169604391258433	TNFRSF21 (interacts with) ADAM23	prot-prot
COL15A1	AHNAK2	0.508277270966151	4.29343719021702e-07	6.22912243190808e-05	COL15A1 (interacts with) AHNAK2	prot-prot
COL6A3	AHNAK2	0.431298650980945	2.7266347054411e-05	0.00224063933554328	COL6A3 (interacts with) AHNAK2	prot-prot
COLEC12	AHNAK2	0.416480647395144	5.43576176059712e-05	0.00392409241564522	COLEC12 (interacts with) AHNAK2	prot-prot
CYTL1	AHNAK2	0.383660314888521	0.000224386023253587	0.0119548404090293	CYTL1 (interacts with) AHNAK2	prot-prot
DKK3	AHNAK2	0.335581698425557	0.00139227180366674	0.0460729259654587	DKK3 (interacts with) AHNAK2	prot-prot
EDN1	AHNAK2	0.382674086858512	0.000233626551398025	0.0123256845977605	EDN1 (interacts with) AHNAK2	prot-prot
EFEMP1	AHNAK2	0.398999682998133	0.00011781092824048	0.00728131079955605	EFEMP1 (interacts with) AHNAK2	prot-prot
FAS	AHNAK2	0.404705716600331	9.1954062142019e-05	0.00597817801470138	FAS (interacts with) AHNAK2	prot-prot
GALNT5	AHNAK2	0.366929660808003	0.000437469225024856	0.0198484270293963	GALNT5 (interacts with) AHNAK2	prot-prot
GM2A	AHNAK2	0.415166778204361	5.76977264736822e-05	0.00412149545436484	GM2A (interacts with) AHNAK2	prot-prot
GPC1	AHNAK2	0.335961818721418	0.00137382448834122	0.0456566042859029	GPC1 (interacts with) AHNAK2	prot-prot
GPNMB	AHNAK2	0.359427283294002	0.00058342229467101	0.0248462429969346	GPNMB (interacts with) AHNAK2	prot-prot
ITGB5	AHNAK2	0.38063286179467	0.000253876242165774	0.013144237699228	ITGB5 (interacts with) AHNAK2	prot-prot
JUN	AHNAK2	0.437781505505571	1.99562044920221e-05	0.00171396431891347	JUN (interacts with) AHNAK2	prot-prot
LMOD1	AHNAK2	0.551178190271565	2.62482773294437e-08	5.03026687925458e-06	LMOD1 (interacts with) AHNAK2	prot-prot
