Name,Parameter,Category,Dictionary
Age ,AGE_cat,cat,"<55, 55<x<65, >65"
Gender ,GENDER,cat,"0:female, 1:male"
Grandparents origin ,ob2,cat,"0:non european, 1:european"
Body mass index ,BMI_cat,cat,"underweight(<18.5), normal(18.5>x>25), overweight(25<x<30), obese (30<x<35), extremely obese (>35)"
Central_obesity ,central_obesity,cat,"0:no, 1:yes"
Ethnicity ,Ethnic,cat,"0:non-caucasian, 1:caucasian"
Origin defined as in the Danish HIV cohort ,Origin,cat,"0:non european, 1:european"
CD4/CD8 ratio ,CDA_CD8_cat,cat,"<1, >1"
Mode of HIV transmission ,Transm_mode,cat,"0:other, 1:MSM, 6:heterosexual"
Viral load ,VL_cat,cat,"<50, >50"
Duration ART ,Duration_cat,cat,"<5, 5<x<10,10<x<15, >15"
First ART drug ,first_drug,cat,"ABC, TDF-TAF, other"
Previous AIDS defining condition ,CDCAIDS,cat,"0:no, 1:yes"
Previous ddi/AZT/d4t ART exposure,ddiAZTd4t,cat,"0:no, 1:yes"
Candy intake ,H2_57,cat,"0:never, 1:1-3 per month, 2:1-2 per week, 3:3-4 per week, 4:1 per day, 5:> 1 per day"
Chocolate intake ,H2_58a,cat,"0:never, 1:1-3 per month, 2:1-2 per week, 3:3-4 per week, 4:1 per day, 5:> 1 per day"
Choice of fat for preparing warm dishes ,H2_54,cat,"0:none, 1:butter, 4:margarine, 5:olive oil, 6:other"
Fruit intake ,H2_56,cat,"1:x<3 per month, 2:>1 per week, 5:>1 per day"
Liquer ,H2_46_5a,cat,"0:never, 1:monthly, 2:weekly, 3:daily"
Liquor ,H2_46_6a,cat,"0:never, 1:monthly, 2:weekly, 3:daily"
Vegetable intake ,H2_55,cat,"1:x<3 per month, 2:>1 per week, 5:>1 per day"
Current smoker ,H2_32a,cat,"0:no, 1:yes"
E-cigarettes ,H2_40a,cat,"0:no, 1:yes with nicotine, 2:yes without nicotine"
All alcoholic drinks ,H2_46_1a,cat,"0:never, 1:monthly, 2:weekly, 3:daily"
Beer ,H2_46_2a,cat,"0:never, 1:monthly, 2:weekly, 3:daily"
Frequency of consumption of > 5 drinks in one occasion during the past year ,H2_47,cat,"1:<1 per month, 2:1-3 per month, 3:>1 per week"
White wine ,H2_46_3a,cat,"0:never, 1:monthly, 2:weekly, 3:daily"
Other alcohlic drinks,H2_46_7a,cat,"0:never, 1:monthly, 2:weekly, 3:daily"
Ankle brachial index ,ob14,cat,"> 0.9, < 0.9"
Metabolic Syndrome ,METS,cat,"0:no, 1:yes"
Anti dyslipedemics ,m2_05,cat,"0:no, 1:yes"
Anti-coagulative therapy ,m2_17,cat,"0:no, 1:yes"
Antihypertensives ,m2_02a,cat,"0:no, 1:yes"
Anxiolytics/antidepressant ,m2_08,cat,"0:no, 1:yes"
Arthritis medication ,m2_06,cat,"0:no, 1:yes"
Aspirin ,m2_01,cat,"0:no, 1:yes"
Birth control pills ,m2_13,cat,"0:no, 1:yes"
Drugs to treat heart conditions ,m2_03a,cat,"0:no, 1:yes"
D-vitamin ,m2_23,cat,"0:no, 1:yes"
Medication for eye conditons ,m2_15,cat,"0:no, 1:yes"
Medication for weight loss ,m2_16,cat,"0:no, 1:yes"
Menopausal medication ,m2_14,cat,"0:no, 1:yes"
Insuline ,m2_11,cat,"0:no, 1:yes"
