"","x"
"1","BMI"
"2","CD4_CD8"
"3","Ethnicity"
"4","gender"
"5","HALLMARK_ADIPOGENESIS"
"6","HALLMARK_ALLOGRAFT_REJECTION"
"7","HALLMARK_ANDROGEN_RESPONSE"
"8","HALLMARK_ANGIOGENESIS"
"9","HALLMARK_APICAL_JUNCTION"
"10","HALLMARK_APICAL_SURFACE"
"11","HALLMARK_BILE_ACID_METABOLISM"
"12","HALLMARK_CHOLESTEROL_HOMEOSTASIS"
"13","HALLMARK_E2F_TARGETS"
"14","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY"
"16","HALLMARK_G2M_CHECKPOINT"
"17","HALLMARK_HEDGEHOG_SIGNALING"
"18","HALLMARK_HEME_METABOLISM"
"19","HALLMARK_IL2_STAT5_SIGNALING"
"20","HALLMARK_IL6_JAK_STAT3_SIGNALING"
"21","HALLMARK_INTERFERON_ALPHA_RESPONSE"
"22","HALLMARK_KRAS_SIGNALING_DN"
"23","HALLMARK_MITOTIC_SPINDLE"
"24","HALLMARK_MYC_TARGETS_V1"
"25","HALLMARK_MYOGENESIS"
"26","HALLMARK_NOTCH_SIGNALING"
"27","HALLMARK_PANCREAS_BETA_CELLS"
"28","HALLMARK_PEROXISOME"
"29","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"
"30","HALLMARK_SPERMATOGENESIS"
"31","HALLMARK_TGF_BETA_SIGNALING"
"32","HALLMARK_UV_RESPONSE_DN"
"33","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"34","HALLMARK_XENOBIOTIC_METABOLISM"
"35","met"
"36","MetS"
"37","prot"
"38","status"
