1,age
2,BMI
3,CD4_CD8
4,Duration
5,Ethnicity
6,HALLMARK_ALLOGRAFT_REJECTION
7,HALLMARK_APICAL_JUNCTION
8,HALLMARK_APICAL_SURFACE
9,HALLMARK_ESTROGEN_RESPONSE_EARLY
10,HALLMARK_ESTROGEN_RESPONSE_LATE
11,HALLMARK_G2M_CHECKPOINT
12,HALLMARK_GLYCOLYSIS
13,HALLMARK_HEDGEHOG_SIGNALING
14,HALLMARK_HEME_METABOLISM
15,HALLMARK_KRAS_SIGNALING_DN
16,HALLMARK_MITOTIC_SPINDLE
17,HALLMARK_MYC_TARGETS_V1
18,HALLMARK_NOTCH_SIGNALING
19,HALLMARK_SPERMATOGENESIS
20,HALLMARK_UV_RESPONSE_DN
21,HALLMARK_WNT_BETA_CATENIN_SIGNALING
22,HALLMARK_XENOBIOTIC_METABOLISM
23,met
24,MetS
25,prot
