"","x"
"1","age"
"2","BMI"
"3","CD4_CD8"
"4","Duration"
"5","Ethnicity"
"6","HALLMARK_ADIPOGENESIS"
"7","HALLMARK_ALLOGRAFT_REJECTION"
"8","HALLMARK_ANDROGEN_RESPONSE"
"9","HALLMARK_ANGIOGENESIS"
"10","HALLMARK_APICAL_JUNCTION"
"11","HALLMARK_APICAL_SURFACE"
"12","HALLMARK_APOPTOSIS"
"13","HALLMARK_CHOLESTEROL_HOMEOSTASIS"
"14","HALLMARK_COAGULATION"
"15","HALLMARK_COMPLEMENT"
"16","HALLMARK_DNA_REPAIR"
"17","HALLMARK_E2F_TARGETS"
"18","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"19","HALLMARK_ESTROGEN_RESPONSE_EARLY"
"20","HALLMARK_ESTROGEN_RESPONSE_LATE"
"21","HALLMARK_FATTY_ACID_METABOLISM"
"22","HALLMARK_G2M_CHECKPOINT"
"23","HALLMARK_GLYCOLYSIS"
"24","HALLMARK_HEDGEHOG_SIGNALING"
"25","HALLMARK_HYPOXIA"
"26","HALLMARK_IL2_STAT5_SIGNALING"
"27","HALLMARK_IL6_JAK_STAT3_SIGNALING"
"28","HALLMARK_INTERFERON_ALPHA_RESPONSE"
"29","HALLMARK_INTERFERON_GAMMA_RESPONSE"
"30","HALLMARK_KRAS_SIGNALING_DN"
"31","HALLMARK_KRAS_SIGNALING_UP"
"32","HALLMARK_MITOTIC_SPINDLE"
"33","HALLMARK_MTORC1_SIGNALING"
"34","HALLMARK_MYC_TARGETS_V1"
"35","HALLMARK_MYC_TARGETS_V2"
"36","HALLMARK_MYOGENESIS"
"37","HALLMARK_P53_PATHWAY"
"38","HALLMARK_PANCREAS_BETA_CELLS"
"39","HALLMARK_PEROXISOME"
"40","HALLMARK_PI3K_AKT_MTOR_SIGNALING"
"41","HALLMARK_PROTEIN_SECRETION"
"42","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"
"43","HALLMARK_TGF_BETA_SIGNALING"
"44","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"45","HALLMARK_UNFOLDED_PROTEIN_RESPONSE"
"46","HALLMARK_UV_RESPONSE_DN"
"47","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"48","HALLMARK_XENOBIOTIC_METABOLISM"
"49","MetS"
"50","txn"
