"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"3","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",1.4857e-17,0.08991,41,1,1,0,"proteomics_monocytes_CB","up"
"5","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",2.744e-19,0.026973,10,1,1,0,"proteomics_monocytes_CB","up"
"9","KEGG_MAPK_SIGNALING_PATHWAY",3.0096e-18,0.08991,16,1,1,0,"proteomics_monocytes_CB","up"
"13","KEGG_FOCAL_ADHESION",9.4287e-18,0.08991,34,1,1,0,"proteomics_monocytes_CB","up"
"14","KEGG_ECM_RECEPTOR_INTERACTION",3.1065e-19,0.026973,12,1,1,0,"proteomics_monocytes_CB","up"
"20","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",2.186e-18,0.035964,21,1,1,0,"proteomics_monocytes_CB","up"
"31","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",4.4844e-19,0.035964,41,1,1,0,"proteomics_norm_monocytes_CB","up"
"51","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",1.6109e-20,0.026973,10,1,1,0,"proteomics_norm_monocytes_CB","up"
"91","KEGG_MAPK_SIGNALING_PATHWAY",6.7828e-20,0.035964,16,1,1,0,"proteomics_norm_monocytes_CB","up"
"131","KEGG_FOCAL_ADHESION",2.944e-19,0.035964,34,1,1,0,"proteomics_norm_monocytes_CB","up"
"141","KEGG_ECM_RECEPTOR_INTERACTION",1.4473e-20,0.026973,12,1,1,0,"proteomics_norm_monocytes_CB","up"
"201","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",8.5389e-20,0.035964,21,1,1,0,"proteomics_norm_monocytes_CB","up"
"8","KEGG_DILATED_CARDIOMYOPATHY",1.8295e-14,0.066822,17,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"10","KEGG_CITRATE_CYCLE_TCA_CYCLE",3.7795e-15,0.042957,21,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"30","KEGG_ERBB_SIGNALING_PATHWAY",1.037e-14,0.064436,15,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"38","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",1.3111e-14,0.042957,26,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"40","KEGG_TGF_BETA_SIGNALING_PATHWAY",2.8195e-15,0.051548,10,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"44","KEGG_ECM_RECEPTOR_INTERACTION",1.7385e-14,0.061367,19,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"47","KEGG_TIGHT_JUNCTION",1.5559e-14,0.051548,32,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"57","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",2.5911e-14,0.099132,19,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"62","KEGG_LONG_TERM_DEPRESSION",4.7875e-15,0.051548,15,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"65","KEGG_GNRH_SIGNALING_PATHWAY",1.0737e-14,0.061367,16,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"66","KEGG_MELANOGENESIS",1.4155e-14,0.099132,12,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"78","KEGG_COLORECTAL_CANCER",8.3705e-15,0.099132,10,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
"85","KEGG_NON_SMALL_CELL_LUNG_CANCER",8.3496e-15,0.099132,10,1,1,0,"proteomics_norm_monocytes_frac_CB","up"
