Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GOBP_REPRODUCTION	284	0.58427	0.11189	0.299	0.41573	0.88911	1	0.004343	0.1029	0.45317	118	0.0046646	0.45854	0.87172	166	0.0041143	0.050949	0.42113
GOBP_REGULATION_OF_DNA_RECOMBINATION	31	0.57969	0.27572	0.48478	0.42031	0.72527	1	0.0039636	0.21778	0.56826	13	0.0024474	0.087912	0.65545	18	0.0050587	0.59441	0.79478
GOBP_TRANSITION_METAL_ION_TRANSPORT	22	0.5458	0.27572	0.48478	0.4542	0.72527	1	0.0043494	0.38362	0.68518	10	0.0055508	0.66234	0.94514	12	0.0033482	0.19081	0.56821
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	31	0.61195	0.42458	0.62098	0.38805	0.57642	1	0.006717	0.96603	0.99075	12	0.0062191	0.83417	0.98945	19	0.0070314	0.95105	0.97455
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	44	0.50034	0.066933	0.22679	0.49966	0.93407	1	0.006718	0.98002	0.99347	22	0.0073903	0.96903	0.99503	22	0.0060456	0.83716	0.91732
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	223	0.59127	0.2048	0.41646	0.40873	0.7962	1	0.0050198	0.74925	0.89449	91	0.0045451	0.41059	0.85758	132	0.005347	0.86014	0.92556
GOBP_RRNA_MODIFICATION	11	0.99809	0.998	1	0.0019132	0.002997	0.27261	0.0038265	0.31469	0.63773	0	NA	NA	NA	11	0.0038265	0.31668	0.64833
GOBP_MAPK_CASCADE	153	0.54243	0.03996	0.16551	0.45757	0.96104	1	0.0046232	0.37562	0.67969	70	0.0049247	0.64336	0.93624	83	0.004369	0.25275	0.60231
GOBP_PROTEIN_POLYUBIQUITINATION	42	0.35808	0.000999	0.015647	0.64192	1	1	0.0064684	0.96204	0.98982	27	0.0064864	0.91908	0.99129	15	0.006436	0.84515	0.92071
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	142	0.45736	0.000999	0.015647	0.54264	1	1	0.0049437	0.65435	0.83786	77	0.0038386	0.10889	0.67691	65	0.0062529	0.97003	0.98208
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	15	0.73239	0.82218	0.90146	0.26761	0.17882	1	0.0073418	0.94805	0.98642	4	0.010211	0.93806	0.99503	11	0.0062985	0.80619	0.90711
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	19	0.47453	0.13786	0.33406	0.52547	0.86314	1	0.0030956	0.1029	0.45317	10	0.0045466	0.48252	0.87582	9	0.0014833	0.033966	0.38604
GOBP_MITOTIC_CELL_CYCLE	214	0.50905	0.001998	0.024357	0.49095	0.999	1	0.0055695	0.97802	0.99347	105	0.0050647	0.74625	0.96146	109	0.0060557	0.98302	0.99056
GOBP_MITOTIC_CYTOKINESIS	22	0.54528	0.24076	0.45406	0.45472	0.76024	1	0.0068295	0.93007	0.97996	10	0.007137	0.88711	0.99129	12	0.0065732	0.86214	0.92556
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	16	0.43736	0.053946	0.19508	0.56264	0.94705	1	0.0046984	0.5035	0.75127	9	0.0039343	0.39161	0.83952	7	0.0056809	0.67532	0.84025
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	54	0.6663	0.81419	0.89686	0.3337	0.18681	1	0.0037369	0.1049	0.45352	18	0.0044918	0.47652	0.87582	36	0.0033595	0.064935	0.438
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	76	0.74875	0.99401	1	0.25125	0.006993	0.51084	0.0057988	0.92707	0.97837	19	0.0065904	0.88212	0.99129	57	0.0055349	0.82418	0.913
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	18	0.83114	0.96803	0.99539	0.16886	0.032967	1	0.0070392	0.95405	0.98752	3	0.0079765	0.82418	0.98566	15	0.0068518	0.9011	0.94886
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	13	0.76758	0.82318	0.90214	0.23242	0.17782	1	0.0069854	0.90909	0.97197	3	0.0079765	0.82418	0.98566	10	0.006688	0.84915	0.92209
GOBP_AUTOPHAGY_OF_MITOCHONDRION	21	0.57102	0.32168	0.535	0.42898	0.67932	1	0.0039949	0.26873	0.5973	9	0.0037136	0.34565	0.81652	12	0.0042059	0.38462	0.68182
GOBP_EMBRYONIC_AXIS_SPECIFICATION	10	0.69914	0.7033	0.82179	0.30086	0.2977	1	0.0040407	0.38162	0.68518	3	0.0038737	0.46254	0.87522	7	0.0041123	0.38961	0.68479
GOBP_TELOMERE_MAINTENANCE	31	0.57992	0.29271	0.50018	0.42008	0.70829	1	0.0067676	0.96903	0.99167	13	0.0063439	0.83716	0.98964	18	0.0070737	0.94905	0.97419
GOBP_RECOMBINATIONAL_REPAIR	33	0.5751	0.29471	0.50178	0.4249	0.70629	1	0.0060604	0.89311	0.96272	14	0.0055983	0.7013	0.95617	19	0.0064009	0.87512	0.93399
GOBP_SISTER_CHROMATID_SEGREGATION	42	0.57111	0.26474	0.47324	0.42889	0.73626	1	0.0065025	0.96503	0.99075	18	0.0068357	0.91808	0.99129	24	0.0062527	0.88811	0.94232
GOBP_CELL_MORPHOGENESIS	229	0.52415	0.003996	0.040387	0.47585	0.997	1	0.0044036	0.16384	0.5187	109	0.0048981	0.64535	0.93624	120	0.0039545	0.053946	0.42795
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	165	0.51551	0.002997	0.032814	0.48449	0.998	1	0.0038901	0.027972	0.30588	80	0.0047557	0.54346	0.9027	85	0.0030754	0.001998	0.20536
GOBP_CYTOKINESIS	50	0.46048	0.013986	0.091121	0.53952	0.98701	1	0.0048946	0.56843	0.79079	27	0.0054159	0.73826	0.95832	23	0.0042827	0.33766	0.66079
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	26	0.61442	0.43656	0.63148	0.38558	0.56444	1	0.0046715	0.47153	0.73195	10	0.0035534	0.27073	0.78071	16	0.0053703	0.64236	0.82077
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	13	0.99691	0.998	1	0.0030948	0.002997	0.27261	0.0061895	0.81718	0.93118	0	NA	NA	NA	13	0.0061895	0.80719	0.90737
GOBP_RESPONSE_TO_ACID_CHEMICAL	32	0.56187	0.23876	0.4521	0.43813	0.76224	1	0.0032498	0.054945	0.37665	14	0.0022805	0.062937	0.61483	18	0.0040037	0.28771	0.62171
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	107	0.56039	0.097902	0.27696	0.43961	0.9031	1	0.0037319	0.032967	0.31566	47	0.0034302	0.074925	0.6282	60	0.0039683	0.12188	0.49762
GOBP_OSSIFICATION	98	0.65259	0.79021	0.88153	0.34741	0.21079	1	0.0038135	0.056943	0.38259	34	0.0041484	0.30869	0.79716	64	0.0036356	0.047952	0.42113
GOBP_NEUROTRANSMITTER_UPTAKE	11	0.6372	0.68432	0.81042	0.3628	0.31668	1	0.0057274	0.72727	0.88341	4	0.010167	0.93706	0.99503	7	0.0031903	0.24775	0.59947
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	48	0.58307	0.31568	0.52651	0.41693	0.68531	1	0.0065954	0.97902	0.99347	20	0.0072846	0.96304	0.99503	28	0.0061031	0.87912	0.93637
GOBP_ACTION_POTENTIAL	26	0.76789	0.94306	0.98313	0.23211	0.057942	1	0.0037274	0.19481	0.55374	6	0.0022772	0.17383	0.70246	20	0.0041625	0.32168	0.65107
GOBP_RNA_METHYLATION	27	0.92457	1	1	0.075431	0.000999	0.16876	0.0030594	0.067932	0.40617	2	0.0023275	0.42258	0.86307	25	0.0031179	0.072927	0.438
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	27	0.81343	0.98002	1	0.18657	0.020979	0.85544	0.0039072	0.24775	0.58593	5	0.0030516	0.31169	0.79716	22	0.0041017	0.28472	0.62171
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	13	0.84484	0.96304	0.99371	0.15516	0.037962	1	0.0026332	0.07992	0.4286	2	2.8248e-06	0.034965	0.52138	11	0.0031114	0.17982	0.55787
GOBP_VASCULOGENESIS	15	0.46624	0.10589	0.29087	0.53376	0.8951	1	0.0041515	0.3966	0.69274	8	0.0030913	0.25175	0.76253	7	0.0053631	0.62737	0.81169
GOBP_MICROTUBULE_BUNDLE_FORMATION	17	0.58769	0.38661	0.59257	0.41231	0.61439	1	0.0042024	0.38062	0.68454	7	0.003788	0.37463	0.83666	10	0.0044925	0.46953	0.72833
GOBP_OSTEOBLAST_DIFFERENTIATION	56	0.60706	0.45854	0.64859	0.39294	0.54246	1	0.0036479	0.071928	0.40696	22	0.0044327	0.41558	0.85924	34	0.0031401	0.047952	0.42113
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	79	0.55656	0.12288	0.31383	0.44344	0.87812	1	0.0038697	0.087912	0.43046	35	0.003461	0.10889	0.67691	44	0.0041947	0.23077	0.59167
GOBP_METANEPHROS_DEVELOPMENT	19	0.4731	0.073926	0.23755	0.5269	0.92707	1	0.003507	0.17283	0.53369	10	0.0022244	0.078921	0.63896	9	0.0049321	0.52747	0.75664
GOBP_TEMPERATURE_HOMEOSTASIS	37	0.64851	0.71528	0.82965	0.35149	0.28571	1	0.0051486	0.64535	0.82949	13	0.0069403	0.91109	0.99129	24	0.0041781	0.34066	0.66281
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	106	0.57546	0.2008	0.41187	0.42454	0.8002	1	0.0039035	0.062937	0.39482	45	0.0045735	0.45754	0.87172	61	0.0034092	0.02997	0.37544
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	11	0.54697	0.44356	0.63808	0.45303	0.55744	1	0.0058027	0.73626	0.88614	5	0.0097272	0.96004	0.99503	6	0.0025324	0.1998	0.5746
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	26	0.61588	0.55245	0.71591	0.38412	0.44855	1	0.0029793	0.062937	0.39482	10	0.0051631	0.58841	0.91616	16	0.0016144	0.006993	0.2624
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	30	0.36926	0.004995	0.046509	0.63074	0.996	1	0.0059402	0.86214	0.94879	19	0.0087774	0.996	0.99855	11	0.0010396	0.005994	0.24017
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	94	0.48887	0.005994	0.052309	0.51113	0.995	1	0.0040412	0.11588	0.47171	48	0.0029919	0.027972	0.52138	46	0.0051363	0.66533	0.83499
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	32	0.46879	0.04995	0.18962	0.53121	0.95105	1	0.0032102	0.052947	0.37524	17	0.0030906	0.13686	0.67884	15	0.0033458	0.18781	0.56487
GOBP_ENDODERM_FORMATION	13	0.4617	0.13886	0.33511	0.5383	0.86214	1	0.0036065	0.22777	0.57185	7	0.0036569	0.36464	0.83083	6	0.0035477	0.35465	0.66433
GOBP_CELL_FATE_SPECIFICATION	14	0.49934	0.14885	0.3482	0.50066	0.85215	1	0.0047218	0.50949	0.75498	7	0.0034056	0.32567	0.79843	7	0.0060379	0.73926	0.87468
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	19	0.42119	0.037962	0.16148	0.57881	0.96304	1	0.0039481	0.28671	0.61088	11	0.0036533	0.29071	0.78812	8	0.0043533	0.45554	0.72292
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	11	0.72403	0.68931	0.81348	0.27597	0.31169	1	0.0077909	0.94006	0.98243	3	0.0024041	0.32168	0.79843	8	0.0098109	0.98701	0.99247
GOBP_SOMITOGENESIS	15	0.79887	0.94406	0.98313	0.20113	0.056943	1	0.0050108	0.5994	0.80493	3	0.0068761	0.73027	0.95832	12	0.0045444	0.45954	0.72292
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	47	0.61628	0.49251	0.67406	0.38372	0.50849	1	0.004	0.21778	0.56826	18	0.003297	0.17483	0.70408	29	0.0044363	0.37862	0.67552
GOBP_NEURON_MIGRATION	28	0.53454	0.13986	0.33581	0.46546	0.86114	1	0.0046453	0.47353	0.73195	13	0.0024685	0.088911	0.65581	15	0.0065318	0.86214	0.92556
GOBP_MICROGLIAL_CELL_ACTIVATION	15	0.40074	0.054945	0.19779	0.59926	0.94605	1	0.0035124	0.25175	0.58834	9	0.0041649	0.42557	0.86341	6	0.0025335	0.1998	0.5746
GOBP_CELL_ACTIVATION	294	0.54065	0.006993	0.056063	0.45935	0.99401	1	0.0038392	0.003996	0.14539	135	0.0038196	0.034965	0.52138	159	0.0038557	0.010989	0.27636
GOBP_LEUKOCYTE_HOMEOSTASIS	22	0.54515	0.23077	0.44516	0.45485	0.77023	1	0.0025428	0.030969	0.31167	10	0.0021261	0.070929	0.61892	12	0.00289	0.13387	0.51625
GOBP_CYTOKINE_PRODUCTION	182	0.48906	0.000999	0.015647	0.51094	1	1	0.0042781	0.13287	0.49022	93	0.0042781	0.25674	0.76958	89	0.0042781	0.21778	0.58043
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	64	0.46896	0.005994	0.052309	0.53104	0.995	1	0.0044537	0.35664	0.66653	34	0.0045964	0.48052	0.87582	30	0.004292	0.35764	0.66677
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	119	0.52101	0.014985	0.095524	0.47899	0.98601	1	0.0040727	0.094905	0.44096	57	0.0042586	0.28472	0.78272	62	0.0039019	0.11688	0.49253
GOBP_MESONEPHROS_DEVELOPMENT	20	0.64905	0.55345	0.71642	0.35095	0.44755	1	0.0027856	0.052947	0.37524	7	0.0012735	0.067932	0.61516	13	0.0035998	0.25674	0.60272
GOBP_BLASTOCYST_DEVELOPMENT	24	0.45769	0.035964	0.15809	0.54231	0.96503	1	0.0046362	0.47353	0.73195	13	0.0030866	0.17582	0.70412	11	0.0064676	0.82617	0.91393
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	15	0.79871	0.93407	0.97833	0.20129	0.066933	1	0.0027961	0.088911	0.43173	3	0.00055929	0.11189	0.67764	12	0.0033553	0.19281	0.56832
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	38	0.63124	0.59041	0.74036	0.36876	0.41059	1	0.0037264	0.14785	0.50509	14	0.004139	0.38961	0.83752	24	0.0034858	0.14785	0.53608
GOBP_NEURAL_TUBE_FORMATION	20	0.64873	0.51249	0.68826	0.35127	0.48851	1	0.0041157	0.31568	0.63866	7	0.0022437	0.15584	0.69853	13	0.0051237	0.6024	0.79912
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	20	0.39958	0.017982	0.10766	0.60042	0.98302	1	0.0059583	0.81319	0.92977	12	0.0042705	0.44555	0.8697	8	0.0084898	0.95005	0.97437
GOBP_PLACENTA_DEVELOPMENT	40	0.50028	0.086913	0.26151	0.49972	0.91409	1	0.0044234	0.37862	0.68302	20	0.0049737	0.60839	0.92605	20	0.0038732	0.26174	0.60841
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	26	0.38519	0.005994	0.052309	0.61481	0.995	1	0.0044975	0.41159	0.70231	16	0.004585	0.47952	0.87582	10	0.0043575	0.44356	0.71736
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	10	0.50102	0.28671	0.49676	0.49898	0.71429	1	0.003764	0.32368	0.64256	5	0.0058064	0.71229	0.95832	5	0.0017217	0.11189	0.48935
GOBP_CELL_KILLING	49	0.24541	0.000999	0.015647	0.75459	1	1	0.0039916	0.18581	0.5432	37	0.0033232	0.097902	0.66588	12	0.0060526	0.78521	0.90197
