Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GOBP_REPRODUCTION	22	0.31825	0.43357	0.57433	0.68175	0.56743	1	0.00061724	0.55644	0.68628	15	0.00055927	0.64935	0.80368	7	0.00074147	0.41359	0.63002
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	12	0.25017	0.32967	0.52541	0.74983	0.67133	1	0.00061057	0.49451	0.63304	9	0.00062913	0.75824	0.84011	3	0.00055488	0.22278	0.55016
GOBP_MAPK_CASCADE	16	0.25001	0.15485	0.39486	0.74999	0.84615	1	0.00018814	0.000999	0.1019	12	0.00013416	0.004995	0.38212	4	0.00035009	0.050949	0.41484
GOBP_CELL_MORPHOGENESIS	15	0.33335	0.42258	0.56982	0.66665	0.57842	1	0.00065501	0.65435	0.74992	10	0.00052371	0.52847	0.76281	5	0.0009176	0.68931	0.78022
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	11	0.45447	0.73127	0.78792	0.54553	0.26973	1	0.00068648	0.72128	0.80681	6	0.00049387	0.4965	0.75965	5	0.0009176	0.68931	0.78022
GOBP_CELL_ACTIVATION	45	0.35559	0.56344	0.68184	0.64441	0.43756	1	0.00052351	0.16284	0.40759	29	0.00045899	0.30569	0.68285	16	0.00064046	0.11489	0.49445
GOBP_CYTOKINE_PRODUCTION	24	0.16683	0.032967	0.30569	0.83317	0.96803	1	0.00053708	0.25774	0.45068	20	0.000524	0.55045	0.76629	4	0.00060251	0.24076	0.55016
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	15	0.13345	0.022977	0.30569	0.86655	0.97802	1	0.0005086	0.24575	0.45059	13	0.00042531	0.29371	0.68285	2	0.00105	0.75724	0.82479
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	23	0.30439	0.31968	0.5192	0.69561	0.68132	1	0.00053703	0.24775	0.45059	16	0.00045077	0.32068	0.68285	7	0.00073421	0.38661	0.62437
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	20	0.30004	0.33866	0.53144	0.69996	0.66234	1	0.00050809	0.22278	0.44874	14	0.00042259	0.25874	0.68285	6	0.00070757	0.36064	0.60507
GOBP_VASCULATURE_DEVELOPMENT	19	0.15808	0.041958	0.30569	0.84192	0.95904	1	0.00052216	0.23077	0.44978	16	0.00052756	0.55744	0.76629	3	0.00049331	0.15385	0.5057
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	12	0.083543	0.026973	0.30569	0.91646	0.97403	1	0.00044244	0.14286	0.40018	11	0.00046967	0.38561	0.68959	1	0.00014289	0.14286	0.49936
GOBP_ADAPTIVE_IMMUNE_RESPONSE	19	0.42103	0.75524	0.79967	0.57897	0.24575	1	0.00047087	0.11588	0.37575	11	0.00037508	0.18482	0.68285	8	0.00060259	0.17483	0.5057
GOBP_IMMUNE_EFFECTOR_PROCESS	22	0.31825	0.42458	0.56982	0.68175	0.57642	1	0.00038958	0.024975	0.22709	15	0.00038257	0.1958	0.68285	7	0.0004046	0.022977	0.37209
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	23	0.30432	0.25275	0.47448	0.69568	0.74825	1	0.0004956	0.13786	0.39426	16	0.00032251	0.067932	0.61139	7	0.00089123	0.6993	0.78022
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	11	0.36373	0.65634	0.72879	0.63627	0.34466	1	0.00039293	0.0999	0.35722	7	0.00045615	0.42058	0.72302	4	0.0002823	0.020979	0.37209
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	11	0.18207	0.2028	0.41371	0.81793	0.7982	1	0.00059398	0.53347	0.66089	9	0.00067421	0.82118	0.87767	2	0.00023292	0.076923	0.41484
