Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GOBP_REPRODUCTION	78	0.44868	0.062937	0.31315	0.55132	0.93806	1	0.0015098	0.16683	0.565	43	0.0012936	0.1958	0.57356	35	0.0017755	0.38561	0.96515
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	56	0.51771	0.36064	0.58252	0.48229	0.64036	1	0.0019086	0.86114	0.95373	27	0.0016784	0.74226	0.90765	29	0.002123	0.8002	0.99586
GOBP_MAPK_CASCADE	54	0.46271	0.12488	0.39955	0.53729	0.87612	1	0.0014583	0.14486	0.54312	29	0.00088133	0.010989	0.35516	25	0.0021275	0.81319	0.99586
GOBP_PROTEIN_POLYUBIQUITINATION	13	0.15423	0.002997	0.09751	0.84577	0.998	1	0.0015716	0.42657	0.77105	11	0.0013767	0.43257	0.72518	2	0.0026436	0.75824	0.99586
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	36	0.33353	0.004995	0.13001	0.66647	0.996	1	0.0019415	0.82318	0.95026	24	0.0017461	0.7962	0.92518	12	0.0023323	0.83217	0.99586
GOBP_MITOTIC_CELL_CYCLE	49	0.34718	0.002997	0.09751	0.65282	0.998	1	0.0016576	0.46254	0.79354	32	0.0016388	0.74725	0.9113	17	0.0016928	0.34965	0.96515
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	19	0.36867	0.097902	0.36404	0.63133	0.9031	1	0.0014453	0.24875	0.67059	12	0.0015381	0.52847	0.78795	7	0.0012862	0.16883	0.96515
GOBP_CELL_MORPHOGENESIS	63	0.53945	0.51249	0.67663	0.46055	0.48851	1	0.0019027	0.87313	0.95373	29	0.0015632	0.59341	0.82549	34	0.0021923	0.89011	0.99586
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	45	0.53304	0.47353	0.65961	0.46696	0.52747	1	0.0018646	0.78422	0.93504	21	0.0013671	0.36863	0.70551	24	0.0023	0.92308	0.99586
GOBP_CYTOKINESIS	11	0.18265	0.022977	0.22268	0.81735	0.97802	1	0.0021606	0.82717	0.95026	9	0.0023381	0.94805	0.97899	2	0.0013622	0.36563	0.96515
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	31	0.58024	0.63736	0.75821	0.41976	0.36364	1	0.0020019	0.87712	0.95373	13	0.0014102	0.44755	0.72518	18	0.0024292	0.93506	0.99586
GOBP_OSSIFICATION	26	0.57671	0.66833	0.77858	0.42329	0.33267	1	0.0017416	0.57343	0.84942	11	0.0015518	0.58442	0.82415	15	0.0018808	0.54246	0.99516
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	13	0.38449	0.094905	0.36175	0.61551	0.90609	1	0.00089647	0.030969	0.40888	8	0.00051761	0.02997	0.40549	5	0.0015026	0.34066	0.96515
GOBP_ACTION_POTENTIAL	10	0.69951	0.82418	0.88541	0.30049	0.17682	1	0.0021228	0.81718	0.95026	3	0.0019091	0.71029	0.88762	7	0.0022143	0.71728	0.99586
GOBP_OSTEOBLAST_DIFFERENTIATION	14	0.4999	0.38462	0.60307	0.5001	0.61638	1	0.0018701	0.68831	0.90362	7	0.0016637	0.63437	0.85013	7	0.0020765	0.63636	0.99586
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	17	0.52912	0.42258	0.61793	0.47088	0.57842	1	0.0014229	0.26074	0.6729	8	0.00088705	0.14585	0.53513	9	0.0018991	0.54945	0.99516
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	35	0.5711	0.62537	0.75559	0.4289	0.37562	1	0.0016936	0.52747	0.83136	15	0.0012005	0.25874	0.61301	20	0.0020635	0.72827	0.99586
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	32	0.34369	0.010989	0.16411	0.65631	0.99001	1	0.0013984	0.14685	0.54312	21	0.00097311	0.04995	0.41075	11	0.0022102	0.78721	0.99586
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	11	0.45395	0.1978	0.46798	0.54605	0.8032	1	0.0019588	0.72328	0.91009	6	0.00069741	0.10589	0.50456	5	0.0034726	0.97902	0.99586
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	11	0.54505	0.43656	0.63028	0.45495	0.56444	1	0.0014615	0.34166	0.71849	5	0.00072102	0.13287	0.51472	6	0.0020785	0.65734	0.99586
GOBP_CELL_ACTIVATION	104	0.51906	0.34366	0.56901	0.48094	0.65734	1	0.001311	0.00999	0.2528	50	0.00099785	0.008991	0.34128	54	0.0016009	0.11289	0.96515
GOBP_CYTOKINE_PRODUCTION	57	0.38586	0.008991	0.15454	0.61414	0.99201	1	0.0014705	0.16683	0.565	35	0.0010241	0.034965	0.40549	22	0.0021807	0.82218	0.99586
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	18	0.38865	0.071928	0.326	0.61135	0.92907	1	0.0014322	0.27073	0.68131	11	0.00077984	0.052947	0.41298	7	0.0024572	0.83716	0.99586
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	32	0.34365	0.010989	0.16411	0.65635	0.99001	1	0.0013035	0.08991	0.50561	21	0.00084044	0.015984	0.35516	11	0.0021875	0.76823	0.99586
GOBP_BLASTOCYST_DEVELOPMENT	10	0.29999	0.045954	0.28097	0.70001	0.95504	1	0.0013234	0.27872	0.69187	7	0.00092467	0.16683	0.54605	3	0.0022538	0.65834	0.99586
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	12	0.33305	0.04995	0.29742	0.66695	0.95105	1	0.0016766	0.50749	0.81828	8	0.00083822	0.12288	0.51472	4	0.0033535	0.97303	0.99586
GOBP_PLACENTA_DEVELOPMENT	11	0.45445	0.27373	0.51628	0.54555	0.72727	1	0.00094622	0.067932	0.45504	6	0.00068749	0.1009	0.49597	5	0.0012567	0.23177	0.96515
GOBP_CELL_KILLING	18	0.11168	0.000999	0.070007	0.88832	1	1	0.0015193	0.34166	0.71849	16	0.0014968	0.52847	0.78795	2	0.0016994	0.46553	0.98166
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	16	0.12545	0.000999	0.070007	0.87455	1	1	0.0013162	0.18182	0.57915	14	0.0012615	0.28072	0.63458	2	0.0016994	0.46553	0.98166
