""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"Q14204"	26.7684789455015	26.6692024740893	26.763039220762	26.716790181984	26.7167931807755	26.7024985287322	26.8441147297156	26.7612982131293	26.6511679369118	26.6165704653035	26.7404665053086	26.7629250578061
"Q13885"	23.1209676940728	23.0098539711542	23.0209865814061	22.9806908966653	23.0547897087189	23.206207188377	23.0357577586017	23.195368177888	22.7642876952627	22.9593398074241	23.1716583928394	23.084835432972
"Q9BVA1"	23.0542626340901	22.9695125785673	22.9658154672781	22.9399924156472	23.0098724596256	23.1210321225618	22.9733194456723	23.1510634161964	22.8338824508837	22.9885862857667	23.1001226750293	23.0517630603406
"Q15149"	25.3152701489867	25.2174562615185	25.2602846977801	25.1608256857957	25.2727966123257	25.1149242514437	25.4674231076869	25.3540093084451	25.0599657451931	25.2624592669131	25.2692880653764	25.3397708474702
"P68371"	20.7739422324791	20.7052903898514	20.7741008110236	20.7873347083426	20.778822289131	21.0053746903452	20.7372429576494	20.7833964501026	20.7523296683399	20.7208659586987	20.7841849456342	20.8618296316033
"P07437"	24.9731436402162	24.9854260116878	25.024479121543	24.9673447967823	24.9992194214329	24.9895163346175	25.1177588411315	24.9838575491683	24.8623764096108	24.8189393707147	24.9524427770791	24.9475071863102
"P08670"	26.8086156333881	26.9599744602457	26.7422137578362	26.6885378833558	26.7912139525568	26.7154307301675	27.0984137845642	26.7366584863404	26.6480229082794	26.8227189257289	26.8992193599862	26.8211526105068
"Q13813"	25.5800842545834	25.5882981301921	25.6951872505325	25.637360470546	25.6762652728674	25.4832998135549	25.745343682339	25.6358504320321	25.4678894975006	25.5931571963726	25.607474865513	25.4788582950334
"Q01082"	25.26529912675	25.176031823298	25.3213472496321	25.2616615898904	25.3038049235797	25.1888713103551	25.3494999552295	25.2880353761114	25.0471753205477	25.2137269159395	25.2621131021746	25.1813305915628
"P78527"	25.3630222181562	25.2401568203412	25.3300033706674	25.3384651217803	25.2543307228165	25.3312612813793	25.3954975790988	25.374341069642	25.3613817258949	25.2284613716838	25.3369726538836	25.4423048859551
"Q13509"	24.1085980877313	24.0665390959296	24.0151532552772	24.0969706949913	24.1344395090261	24.2996165788939	23.9948014424531	24.1360317218153	23.9937065037511	24.0668588479973	24.0979750493972	24.0675614711375
"Q00610"	25.4588671807831	25.4561217372433	25.4813518861365	25.5000903035597	25.4727164404369	25.4418609158209	25.4982173057179	25.5044804086193	25.3690242358189	25.3964483193417	25.423296855616	25.3959926256998
"P35580"	25.4904565224284	25.2348221790241	25.3145993154823	25.3538216337654	25.2635778469466	25.5327058369568	25.4234228884558	25.3909463026367	25.3386438618351	25.3062169328036	25.4423007296548	25.3224359886725
"P46821"	25.5466635076867	25.6174358140122	25.5864656873685	25.5354608481806	25.6020792773202	25.5625064728922	25.7195925059631	25.5333920214196	25.5102065626888	25.5251955740222	25.5067732462435	25.4621596873649
"P04350"	22.5332602080482	22.6534503776827	22.6304185115818	22.6657810435867	22.6595349549668	22.6221030687233	22.5360904460498	22.6250895063273	22.4720180409957	22.568923129161	22.6094427359002	22.6036337882664
"P07900"	25.3741725332504	25.3839871667859	25.4530288700957	25.477911375623	25.4359396808914	25.3912431694625	25.3183361273466	25.2182916670997	25.4912686415099	25.4161911521116	25.2668644096983	25.3216237683601
"P08238"	24.975846471744	24.9036989657365	24.9758194090937	25.0233635930311	24.9214778701929	24.9847527595428	24.9775315471703	24.9578735182724	24.9441554685939	24.8845908224256	24.9711088647413	25.0258520553236
"Q71U36"	25.4149921817517	25.4144254939406	25.4605531254988	25.4251229749338	25.4620100590637	25.4344612197536	25.5800625897747	25.535985038221	25.2087239419192	25.4226878903896	25.4424231926349	25.5300823762603
"P48681"	24.9388493135542	24.6818643020609	24.5388978645901	24.4848434182913	24.59695734749	25.0746528679615	25.1515029016406	24.7379547798528	24.7524031584994	24.6352540825529	24.9123420320511	24.9458439472363
"P11142"	25.3267879925818	25.3702064606638	25.4107859165842	25.4630668388807	25.3601684212603	25.4044612873244	25.3163985962468	25.2751226841068	25.343098286454	25.2851069197944	25.2957488495554	25.3381274423786
"P11021"	25.6248685965839	25.7176132176515	25.7430889013529	25.7377828000295	25.6994701935256	25.6790572234637	25.743027646858	25.6330458602554	25.7176501947425	25.7743994500653	25.635369617355	25.6398061735651
"P49327"	24.628203203375	24.5493323457391	24.5914413408284	24.6235272600496	24.5102491336818	24.6805692590663	24.6221341474198	24.6144569178767	24.709543548087	24.5386221700987	24.5152961817534	24.5902475559423
"P22314"	25.5012011850047	25.3351203733452	25.4181743133994	25.3724312624871	25.3995669054829	25.553076362869	25.4095390994619	25.4060488277296	25.4550290285429	25.364846963898	25.370535347769	25.4201479968729
"P55072"	25.0079488978718	24.8803760656782	24.9407723127111	24.9351626892098	24.9295667931096	24.9899648068312	24.9457893858038	24.9626541796037	24.950978410239	24.8997938802301	24.9251733570407	24.9059043036226
"Q14195"	24.888115487635	24.9349228671874	24.929804145488	24.9218704041035	24.9708768504776	25.0175535274015	24.8724604957523	24.9265430491947	24.8283302009159	24.886840037367	24.8868735220845	24.8568738794116
"P21333"	24.6823890470863	24.70479186268	24.6598766265143	24.6089705216049	24.5879027075251	24.722520779816	24.7849599079111	24.6077505694865	24.7623003561903	24.7031980270438	24.7134499595829	24.6814778399701
"P10809"	25.4845962993532	25.2443169223263	25.3189083341331	25.4061018178484	25.3140228569478	25.5141344582608	25.3299200266019	25.3386222542576	25.3535885827082	25.3495983368902	25.4251679031428	25.3052369547597
"P63261"	25.1226451185365	25.2893240749615	25.3806053839416	25.1160538199626	25.2967635229093	25.0003824778452	25.3339163144259	25.278498410778	25.1744771304706	25.1864588103627	25.0487364929833	25.1151319856254
"Q14315"	24.2817251017797	24.5442486779758	24.6270204073639	24.5574645331926	24.5704126162842	24.2414395809454	24.7493904194821	24.2196970254051	24.3015342772517	24.6638791721321	24.3155090571427	24.3116432719141
