"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"17","MAR00124",8229,"citrulline[m] <=> citrulline[c]","ENSG00000102743 or ENSG00000120329","Transport reactions",-980.809037274318
"27","MAR00151",8256,"(2E)-octadecenoyl-CoA[c] + H+[c] + NADH[c] + O2[c] => (6Z,9Z)-octadecadienoyl-CoA[c] + 2 H2O[c] + NAD+[c]","ENSG00000134824","Fatty acid biosynthesis",0.0107408127979642
"28","MAR00152",8257,"H+[c] + linoleoyl-CoA[c] + NADH[c] + O2[c] => gamma-linolenoyl-CoA[c] + 2 H2O[c] + NAD+[c]","ENSG00000134824 or ENSG00000149485","Fatty acid biosynthesis",0.0778708927852402
"147","MAR00589",3483,"1-acylglycerol-3P pool[c] + acyl-CoA pool[c] => CoA[c] + phosphatidate-LD-PC pool[c]","ENSG00000011198 or ENSG00000026652 or ENSG00000143797 or ENSG00000155189 or ENSG00000160216 or ENSG00000169692 or ENSG00000172197 or ENSG00000172954 or ENSG00000204310","Glycerophospholipid metabolism",10.7358290615671
"149","MAR00597",3489,"H2O[c] + phosphatidate-LD-PC pool[c] => 1,2-diacylglycerol-LD-PC pool[c] + Pi[c]","ENSG00000067113 or ENSG00000101577 or ENSG00000105520 or ENSG00000117600 or ENSG00000129951 or ENSG00000132793 or ENSG00000134324 or ENSG00000141934 or ENSG00000147535 or ENSG00000162407 or ENSG00000203805","Glycerophospholipid metabolism",10.7358290615671
"157","MAR00625",3503,"1,2-diacylglycerol-LD-PC pool[c] + CDP-choline[c] => CMP[c] + H+[c] + PC-LD pool[c]","ENSG00000111666 or ENSG00000134255","Glycerophospholipid metabolism",12.0444516932515
"160","MAR00636",3511,"ATP[c] + choline[c] => ADP[c] + H+[c] + phosphocholine[c]","ENSG00000100288 or ENSG00000110721","Glycerophospholipid metabolism",12.0444516932515
"162","MAR00638",3512,"CTP[c] + H+[c] + phosphocholine[c] => CDP-choline[c] + PPi[c]","ENSG00000102230 or ENSG00000161217","Glycerophospholipid metabolism",12.0444516932515
"163","MAR00656",8331,"PE-LD pool[e] <=> ",NA,"Exchange/demand reactions",-4.07075912525522
"181","MAR00759",8373,"4 CoA[x] + 4 H2O[x] + 4 NAD+[x] + 4 O2[x] + palmitoyl-CoA[x] => 4 acetyl-CoA[x] + 4 H+[x] + 4 H2O2[x] + 4 NADH[x] + octanoyl-CoA[x]","(ENSG00000060971 and ENSG00000133835 and ENSG00000161533) or (ENSG00000060971 and ENSG00000113790 and ENSG00000161533)","Fatty acid oxidation",250
"182","MAR00762",3314,"glucosylceramide pool[c] + H2O[c] => ceramide pool[c] + glucose[c]","ENSG00000070610 or ENSG00000177628 or ENSG00000249948","Sphingolipid metabolism",1.28070058260615
"193","MAR01325",3726,"NAD+[c] + prostaglandin F2alpha[c] => H+[c] + NADH[c] + prostaglandin H2[c]","ENSG00000196139","Prostaglandin biosynthesis",1000
