Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	20	0.60193	0.2008	0.51337	0.39807	0.8002	1	0.24261	0.4026	0.70455	7	0.20923	0.10889	0.31993	13	0.26059	0.6993	0.99574
HALLMARK_HYPOXIA	47	0.58131	0.028971	0.17249	0.41869	0.97203	1	0.26359	0.52248	0.75664	19	0.2903	0.17782	0.39308	28	0.24546	0.68631	0.99574
HALLMARK_CHOLESTEROL_HOMEOSTASIS	19	0.58818	0.14286	0.42857	0.41182	0.85814	1	0.25495	0.48252	0.75664	6	0.099581	0.020979	0.11014	13	0.32665	0.9001	0.99574
HALLMARK_MITOTIC_SPINDLE	53	0.54988	0.005994	0.05035	0.45012	0.995	1	0.21969	0.15684	0.57127	23	0.21589	0.016983	0.11014	30	0.2226	0.47552	0.90782
HALLMARK_TGF_BETA_SIGNALING	11	0.53801	0.11788	0.40344	0.46199	0.88312	1	0.11774	0.044955	0.26973	5	0.11313	0.035964	0.13986	6	0.12157	0.2038	0.73287
HALLMARK_IL6_JAK_STAT3_SIGNALING	18	0.64802	0.36264	0.76154	0.35198	0.63836	1	0.16514	0.088911	0.41492	6	0.19177	0.12188	0.31993	12	0.15182	0.18581	0.73287
HALLMARK_DNA_REPAIR	28	0.68589	0.51548	0.88757	0.31411	0.48551	1	0.22964	0.29171	0.66533	8	0.30251	0.33267	0.59965	20	0.2005	0.36963	0.90782
HALLMARK_G2M_CHECKPOINT	40	0.80728	0.99401	1	0.19272	0.006993	0.097902	0.18989	0.055944	0.29371	7	0.4413	0.72727	0.90869	33	0.13657	0.021978	0.21818
HALLMARK_APOPTOSIS	44	0.57595	0.044955	0.18881	0.42405	0.95604	1	0.2232	0.17483	0.57127	18	0.23624	0.054945	0.17751	26	0.21418	0.46254	0.90782
HALLMARK_ADIPOGENESIS	78	0.71084	0.8002	1	0.28916	0.2008	0.7028	0.27541	0.67133	0.81878	19	0.37824	0.61339	0.85874	59	0.24229	0.71628	0.99574
HALLMARK_ESTROGEN_RESPONSE_EARLY	14	0.72707	0.6993	1	0.27293	0.3017	0.90509	0.18266	0.17682	0.57127	3	0.15252	0.14985	0.34965	11	0.19088	0.42358	0.90782
HALLMARK_ESTROGEN_RESPONSE_LATE	23	0.77426	0.91009	1	0.22574	0.090909	0.63636	0.25927	0.5045	0.75664	6	0.63159	0.96603	0.96903	17	0.12787	0.084915	0.50949
HALLMARK_ANDROGEN_RESPONSE	26	0.68191	0.53147	0.88757	0.31809	0.46953	1	0.23968	0.38262	0.69869	7	0.26363	0.20879	0.43846	19	0.23085	0.58242	0.99574
HALLMARK_MYOGENESIS	38	0.33439	0.000999	0.01049	0.66561	1	1	0.25967	0.47952	0.75664	24	0.15169	0.001998	0.027972	14	0.44477	0.996	0.996
HALLMARK_PROTEIN_SECRETION	56	0.71081	0.77522	1	0.28919	0.22577	0.72942	0.26879	0.54046	0.75664	15	0.42211	0.75724	0.90869	41	0.21269	0.43057	0.90782
HALLMARK_INTERFERON_ALPHA_RESPONSE	18	0.75113	0.81518	1	0.24887	0.18581	0.7028	0.29294	0.65934	0.81878	3	0.38558	0.57742	0.83627	15	0.27441	0.78322	0.99574
HALLMARK_INTERFERON_GAMMA_RESPONSE	44	0.6795	0.54945	0.88757	0.3205	0.45155	1	0.24144	0.3037	0.66533	13	0.32384	0.34266	0.59965	31	0.20689	0.38661	0.90782
HALLMARK_APICAL_JUNCTION	48	0.30295	0.000999	0.01049	0.69705	1	1	0.23227	0.22378	0.64665	34	0.17988	0.000999	0.020979	14	0.3595	0.95704	0.99574
HALLMARK_COMPLEMENT	81	0.61719	0.075924	0.28989	0.38281	0.92507	1	0.24975	0.33267	0.66533	28	0.25383	0.03996	0.13986	53	0.2476	0.72627	0.99574
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	33	0.7572	0.91109	1	0.2428	0.08991	0.63636	0.24178	0.36663	0.69869	9	0.55301	0.96703	0.96903	24	0.12507	0.035964	0.25175
