Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	10	0.0022646	0.63836	0.77166	0.99774	0.36264	0.99101	0.0045292	0.61638	0.76505	10	0.0045292	0.61638	0.72358	0	NA	NA	NA
HALLMARK_HYPOXIA	20	0.00056404	0.2008	0.49287	0.99944	0.8002	0.99101	0.0011281	0.1998	0.49042	20	0.0011281	0.2048	0.46079	0	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	17	7.5356e-05	0.083916	0.45315	0.99992	0.91708	0.99101	0.00015071	0.070929	0.42078	17	0.00015071	0.071928	0.43157	0	NA	NA	NA
HALLMARK_DNA_REPAIR	16	0.0040464	0.65734	0.77166	0.99595	0.34366	0.99101	0.0080928	0.66034	0.77518	16	0.0080928	0.73526	0.82717	0	NA	NA	NA
HALLMARK_APOPTOSIS	20	0.00033891	0.13087	0.48282	0.99966	0.87013	0.99101	0.00067783	0.13487	0.47742	20	0.00067783	0.13187	0.46079	0	NA	NA	NA
HALLMARK_ADIPOGENESIS	14	2.9042e-06	0.011988	0.16184	1	0.98901	0.99101	5.8084e-06	0.011988	0.16184	14	5.8084e-06	0.011988	0.16184	0	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	15	0.0024678	0.57443	0.77166	0.99753	0.42657	0.99101	0.0049355	0.58841	0.76505	15	0.0049355	0.58042	0.72358	0	NA	NA	NA
HALLMARK_INTERFERON_ALPHA_RESPONSE	13	0.0008254	0.37263	0.6977	0.99917	0.62837	0.99101	0.0016508	0.37463	0.70606	13	0.0016508	0.36364	0.68781	0	NA	NA	NA
HALLMARK_INTERFERON_GAMMA_RESPONSE	18	0.0013393	0.38661	0.6977	0.99866	0.61439	0.99101	0.0026786	0.37762	0.70606	18	0.0026786	0.39361	0.68781	0	NA	NA	NA
HALLMARK_APICAL_JUNCTION	11	9.7471e-05	0.16384	0.48282	0.9999	0.83716	0.99101	0.00019494	0.16484	0.47742	11	0.00019494	0.18082	0.46079	0	NA	NA	NA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	12	0.0014739	0.48951	0.73427	0.99853	0.51149	0.99101	0.0029478	0.49451	0.71408	12	0.0029478	0.48951	0.69562	0	NA	NA	NA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	13	0.00012652	0.13986	0.48282	0.99987	0.86114	0.99101	0.00025304	0.14885	0.47742	13	0.00025304	0.14685	0.46079	0	NA	NA	NA
HALLMARK_MTORC1_SIGNALING	21	0.0018388	0.44356	0.71717	0.99816	0.55744	0.99101	0.0036775	0.44456	0.70606	21	0.0036775	0.45654	0.69562	0	NA	NA	NA
