"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name" "synaptic_prot"
"P02511" "P02511" 2.63423274656515 6.83848573917375e-10 4.24328040115731e-06 "Control vs hc-like" "CRYAB" "yes"
"Q92743" "Q92743" -1.05505852998049 1.81931948890003e-09 5.49814563294095e-06 "Control vs hc-like" "HTRA1" "yes"
"P05090" "P05090" 1.40016539790967 2.65824929876275e-09 5.49814563294095e-06 "Control vs hc-like" "APOD" "yes"
"P04003" "P04003" 1.80112512358955 6.83259440375693e-09 1.05356137837962e-05 "Control vs hc-like" "C4BPA" "yes"
"P02654" "P02654" 3.50107181600264 8.48961626413875e-09 1.05356137837962e-05 "Control vs hc-like" "APOC1" NA
"P27169" "P27169" 2.29539970844598 1.11280271270884e-08 1.07202389729565e-05 "Control vs hc-like" "PON1" NA
"Q96HC4" "Q96HC4" -1.1962748946761 1.55372455700201e-08 1.20510760952469e-05 "Control vs hc-like" "PDLIM5" "yes"
"P20851" "P20851" 2.61307507791301 2.51263011249218e-08 1.61281401380528e-05 "Control vs hc-like" "C4BPB" NA
"P12259" "P12259" 1.49875194584003 2.70834987679062e-08 1.61281401380528e-05 "Control vs hc-like" "F5" NA
"P02656" "P02656" 2.08890512796369 2.85913846121806e-08 1.61281401380528e-05 "Control vs hc-like" "APOC3" NA
"Q14520" "Q14520" 1.54379247926707 5.34783222863199e-08 2.76527491488846e-05 "Control vs hc-like" "HABP2" NA
"P04196" "P04196" 2.42872602199501 7.46344439845537e-08 3.56235942249351e-05 "Control vs hc-like" "HRG" NA
"P04004" "P04004" 1.86246983757241 9.36338506477533e-08 4.14998602335221e-05 "Control vs hc-like" "VTN" NA
"P02647" "P02647" 2.5789381371909 1.29249662235871e-07 4.97744083307306e-05 "Control vs hc-like" "APOA1" NA
"P22352" "P22352" 1.58275090948997 1.34522055789045e-07 4.97744083307306e-05 "Control vs hc-like" "GPX3" NA
"P07225" "P07225" 1.3965249693169 1.36368242002002e-07 4.97744083307306e-05 "Control vs hc-like" "PROS1" NA
"P02652" "P02652" 2.53735182473812 1.65068500289976e-07 5.56559243359075e-05 "Control vs hc-like" "APOA2" NA
"P02749" "P02749" 2.11712640937109 1.93575850180949e-07 5.56559243359075e-05 "Control vs hc-like" "APOH" "yes"
"P01042" "P01042" 2.35913949516165 1.96949215218858e-07 5.56559243359075e-05 "Control vs hc-like" "KNG1" NA
"Q4G0S4" "Q4G0S4" 3.88615488891121 1.97329626976626e-07 5.56559243359075e-05 "Control vs hc-like" "CYP27C1" NA
"P02655" "P02655" 2.41304122661468 2.56515797964974e-07 6.92035011466375e-05 "Control vs hc-like" "APOC2" NA
"O43847" "O43847" 0.591546487636084 2.86409163949007e-07 7.40487025959829e-05 "Control vs hc-like" "NRDC" NA
"P00450" "P00450" 2.04224298073379 3.11302021511307e-07 7.57365419671406e-05 "Control vs hc-like" "CP" "yes"
"Q8NG27" "Q8NG27" -1.14498625427091 3.17348926856673e-07 7.57365419671406e-05 "Control vs hc-like" "PJA1" NA
"O95445" "O95445" 1.84767916322504 3.4493717410068e-07 7.92716727886934e-05 "Control vs hc-like" "APOM" NA
"P02747" "P02747" 1.83988536067604 4.01475925452169e-07 8.17304577401854e-05 "Control vs hc-like" "C1QC" "yes"
"P02746" "P02746" 2.17096128207491 4.07455040471608e-07 8.17304577401854e-05 "Control vs hc-like" "C1QB" NA
"P29622" "P29622" 1.97062267659316 4.08322995962248e-07 8.17304577401854e-05 "Control vs hc-like" "SERPINA4" NA
"P0C0L5" "P0C0L5" 1.33229646636271 4.47155389481093e-07 8.67062247415681e-05 "Control vs hc-like" "C4B" NA
"P48431" "P48431" -1.14315521469982 5.1000572694477e-07 9.2330751426855e-05 "Control vs hc-like" "SOX2" NA
"Q9NX01" "Q9NX01" 0.95834040442336 5.16728696987827e-07 9.2330751426855e-05 "Control vs hc-like" "TXNL4B" NA
"P61626" "P61626" 1.30831217764774 5.44421811495201e-07 9.2330751426855e-05 "Control vs hc-like" "LYZ" "yes"
"P19823" "P19823" 1.93535394243001 5.45691221985065e-07 9.2330751426855e-05 "Control vs hc-like" "ITIH2" NA
"P36955" "P36955" 1.43921335758771 5.99124866381324e-07 9.26331967396218e-05 "Control vs hc-like" "SERPINF1" NA
"P01024" "P01024" 2.21580307675289 5.9950267482035e-07 9.26331967396218e-05 "Control vs hc-like" "C3" "yes"
"Q9H7C9" "Q9H7C9" -1.23590947513927 6.06499196628617e-07 9.26331967396218e-05 "Control vs hc-like" "AAMDC" NA
"Q96PD5" "Q96PD5" 1.33623513828681 6.1208075202651e-07 9.26331967396218e-05 "Control vs hc-like" "PGLYRP2" NA
"Q96GF1" "Q96GF1" -1.21342492519708 6.41543987880127e-07 9.47804867808616e-05 "Control vs hc-like" "RNF185" NA
"P00736" "P00736" 1.2542889629474 7.248830286005e-07 0.000102224981646957 "Control vs hc-like" "C1R" NA
"P00488" "P00488" 2.36725978899331 7.49160444867869e-07 0.000103300901342336 "Control vs hc-like" "F13A1" NA
