"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"O95445" "O95445" 2.12909979135859 1.17253329677716e-09 1.21028460545614e-06 "Control vs at-risk" "APOM"
"P19823" "P19823" 2.16824849757426 1.54587184985414e-09 1.21028460545614e-06 "Control vs at-risk" "ITIH2"
"P02766" "P02766" 1.48184187303551 1.81800146977867e-09 1.21028460545614e-06 "Control vs at-risk" "TTR"
"P0C0L5" "P0C0L5" 1.52057834846029 1.98121442384935e-09 1.21028460545614e-06 "Control vs at-risk" "C4B"
"P00738" "P00738" 2.32582921985626 2.01528545798534e-09 1.21028460545614e-06 "Control vs at-risk" "HP"
"P01024" "P01024" 2.60039463630585 2.27313414244108e-09 1.21028460545614e-06 "Control vs at-risk" "C3"
"P27169" "P27169" 2.34363412289374 2.29646903982331e-09 1.21028460545614e-06 "Control vs at-risk" "PON1"
"P00450" "P00450" 2.20607551123743 2.38890512276451e-09 1.21028460545614e-06 "Control vs at-risk" "CP"
"P02774" "P02774" 1.96956106790116 2.53564864962607e-09 1.21028460545614e-06 "Control vs at-risk" "GC"
"P01023" "P01023" 2.4037478215826 2.83336553029469e-09 1.25578807967704e-06 "Control vs at-risk" "A2M"
"Q14520" "Q14520" 1.65544086109894 3.27025547554498e-09 1.33011889029862e-06 "Control vs at-risk" "HABP2"
"P02760" "P02760" 1.70518165287064 3.42979891132601e-09 1.33011889029862e-06 "Control vs at-risk" "AMBP"
"P02749" "P02749" 2.40040224024767 4.03325925645452e-09 1.36820069237733e-06 "Control vs at-risk" "APOH"
"P01042" "P01042" 2.79629759356707 4.19506630421934e-09 1.36820069237733e-06 "Control vs at-risk" "KNG1"
"P05090" "P05090" 1.36790556224647 4.32999201544416e-09 1.36820069237733e-06 "Control vs at-risk" "APOD"
"P02647" "P02647" 2.84336999618037 4.63049388234069e-09 1.36820069237733e-06 "Control vs at-risk" "APOA1"
"P02787" "P02787" 1.74926953734547 4.97855335735384e-09 1.40417834465366e-06 "Control vs at-risk" "TF"
"P00751" "P00751" 2.1786749606041 5.8693529331757e-09 1.58344934566762e-06 "Control vs at-risk" "CFB"
"P04004" "P04004" 2.16690921296996 6.3705139291834e-09 1.612569164298e-06 "Control vs at-risk" "VTN"
"P19827" "P19827" 1.53402676966079 6.55761196985838e-09 1.612569164298e-06 "Control vs at-risk" "ITIH1"
"P02652" "P02652" 2.89156266129264 6.75693767473777e-09 1.612569164298e-06 "Control vs at-risk" "APOA2"
"P02765" "P02765" 2.13991162076687 7.19389329977025e-09 1.64960275656524e-06 "Control vs at-risk" "AHSG"
"P02656" "P02656" 2.35579753347257 7.44381582334031e-09 1.64960275656524e-06 "Control vs at-risk" "APOC3"
"P05156" "P05156" 0.910305052479801 8.03104266000897e-09 1.7183661967364e-06 "Control vs at-risk" "CFI"
