"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"sphinganine" "sphinganine" 0.734791084903235 5.60864412019448e-14 4.91878089341056e-11 "group2-group1"
"sphingosine" "sphingosine" 0.795269990142973 6.283067505191e-13 2.75512510102625e-10 "group2-group1"
"AMP" "AMP" 1.05329259853192 4.72181306837426e-12 1.38034335365474e-09 "group2-group1"
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)" "1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)" 1.24100488969275 2.41045311853099e-11 5.28491846237919e-09 "group2-group1"
"serotonin" "serotonin" 2.10119872549845 8.24889037813521e-10 1.44685537232492e-07 "group2-group1"
"beta-citrylglutamate" "beta-citrylglutamate" 0.494094289541397 1.23742312688724e-09 1.80870013713351e-07 "group2-group1"
"hexadecasphingosine (d16:1)*" "hexadecasphingosine (d16:1)*" 1.13931548977565 3.85274497862753e-09 4.82693906608049e-07 "group2-group1"
"phosphoethanolamine (PE)" "phosphoethanolamine (PE)" 0.53220590802811 1.20378320198126e-08 1.31964733517195e-06 "group2-group1"
"spermidine" "spermidine" 0.479471096403622 1.56456886627927e-08 1.52458543969658e-06 "group2-group1"
"nicotinamide" "nicotinamide" 0.74244022707897 2.26954579801421e-08 1.99039166485846e-06 "group2-group1"
"N-oleoyltaurine" "N-oleoyltaurine" 0.910951146841919 3.42535341337531e-08 2.73094085775468e-06 "group2-group1"
"spermine" "spermine" 0.604415885717016 1.32492800177433e-07 9.68301547963402e-06 "group2-group1"
"N-acetylneuraminate" "N-acetylneuraminate" 0.274480127080988 1.49907630405338e-07 1.01129993742678e-05 "group2-group1"
"palmitoleoylcarnitine (C16:1)*" "palmitoleoylcarnitine (C16:1)*" 0.595311953309751 3.04314212847654e-07 1.88305053135841e-05 "group2-group1"
"oleoylcarnitine (C18:1)" "oleoylcarnitine (C18:1)" 0.410019198330998 3.22072496811587e-07 1.88305053135841e-05 "group2-group1"
"linolenoylcarnitine (C18:3)*" "linolenoylcarnitine (C18:3)*" 0.487677215584754 4.95248063755237e-07 2.67367973461472e-05 "group2-group1"
"phosphocholine" "phosphocholine" 0.320506315420847 5.18273152661919e-07 2.67367973461472e-05 "group2-group1"
"3-hydroxydecanoylcarnitine" "3-hydroxydecanoylcarnitine" 0.776747976290529 5.6389749838138e-07 2.74743392266928e-05 "group2-group1"
"myristoleoylcarnitine (C14:1)*" "myristoleoylcarnitine (C14:1)*" 0.738144876812252 7.04835115732943e-07 3.25337050788311e-05 "group2-group1"
"maltose" "maltose" 1.06278738776091 7.490399512372e-07 3.28454018617512e-05 "group2-group1"
"3-decenoylcarnitine" "3-decenoylcarnitine" 0.601095079303265 9.10504449264947e-07 3.80244000954932e-05 "group2-group1"
"taurine" "taurine" 0.27596611440316 9.9790228545886e-07 3.97800138339736e-05 "group2-group1"
"sphingosine 1-phosphate" "sphingosine 1-phosphate" 0.252341523657493 1.13760187811342e-06 4.33772542219771e-05 "group2-group1"
"3-phosphoglycerate" "3-phosphoglycerate" 0.524700507779841 1.46844740567892e-06 5.31745637599767e-05 "group2-group1"
"3-hydroxyoleoylcarnitine" "3-hydroxyoleoylcarnitine" 0.639424086780137 1.51580854503924e-06 5.31745637599767e-05 "group2-group1"
"linolenate (18:3n3 or 3n6)" "linolenate (18:3n3 or 3n6)" 0.884840504542222 2.57274368176848e-06 8.67806234196523e-05 "group2-group1"
"sphingadienine" "sphingadienine" 0.471740545578707 2.77821285418614e-06 9.02404693748608e-05 "group2-group1"
"laurylcarnitine (C12)" "laurylcarnitine (C12)" 0.640208398324057 3.1910957394509e-06 9.99496772678013e-05 "group2-group1"
"eicosenoate (20:1n9 or 1n11)" "eicosenoate (20:1n9 or 1n11)" 0.823747294052872 3.36712319384684e-06 0.000101826449689782 "group2-group1"
"sphinganine-1-phosphate" "sphinganine-1-phosphate" 0.352344773875794 5.10946918478939e-06 0.000149366815835343 "group2-group1"
"tetradecadienoate (14:2)*" "tetradecadienoate (14:2)*" 0.846099361148385 5.62595989310246e-06 0.000159160220201641 "group2-group1"
